"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Golph3","Golph3",2174,2834,2545,3598,3769,3720
"Zfr","Zfr",2350,2531,2672,2835,2527,2767
"Ngdn","Ngdn",937,997,1127,1131,1122,1130
"Sub1","Sub1",2378,3280,2929,3971,3276,3866
"Dhrs4","Dhrs4",210,294,126,253,186,195
"Dcaf11","Dcaf11",1946,2382,2112,2155,1923,1928
"Psme1","Psme1",3600,4898,3835,4795,4294,4249
"Emc9","Emc9",344,341,374,518,461,406
"Tgm1","Tgm1",43,81,77,229,254,343
"Ripk3","Ripk3",361,462,470,595,523,551
"Zscan26","Zscan26",42,21,34,23,36,41
"Cct5","Cct5",15001,18136,15580,16768,14517,13548
"Cmbl","Cmbl",42,50,18,29,44,23
"Ropn1l","Ropn1l",145,148,129,188,199,169
"Ankrd33b","Ankrd33b",84,114,107,101,84,70
"Ctnnd2","Ctnnd2",0,4,5,0,0,0
"Tars","Tars",5574,6643,5874,7115,5558,5468
"Amacr","Amacr",652,651,724,663,718,783
"Rai14","Rai14",513,530,654,706,663,568
"Brix1","Brix1",1813,2360,2238,2501,2486,2773
"Rad1","Rad1",481,609,561,572,571,538
"Nadk2","Nadk2",757,1153,934,1162,997,1335
"Mtdh","Mtdh",3711,4564,4023,3801,4198,3988
"Laptm4b","Laptm4b",3954,4608,4423,5305,5027,5147
"Dnah5","Dnah5",2,6,1,4,1,0
"Trio","Trio",635,867,743,971,725,639
"Ank","Ank",1519,1808,1872,1404,1222,1430
"X44996","44996",14,4,2,16,4,7
"Retreg1","Retreg1",1263,1392,1437,1248,981,1207
"Myo10","Myo10",4074,3849,4431,7386,6539,5155
"Rnf19a","Rnf19a",761,794,921,870,895,905
"Pabpc1","Pabpc1",14646,17386,15743,16508,14301,13708
"Ywhaz","Ywhaz",13434,15967,15161,18183,15613,16106
"Grhl2","Grhl2",0,1,0,0,2,0
"Rrm2b","Rrm2b",137,153,189,152,215,249
"Atp6v1c1","Atp6v1c1",25892,30597,28632,32537,30667,30050
"Fzd6","Fzd6",228,274,269,179,194,198
"Slc25a32","Slc25a32",456,690,623,651,524,605
"Dcaf13","Dcaf13",2782,3402,3256,3926,3377,3423
"Dcstamp","Dcstamp",1004,1069,1067,838,697,603
"Dpys","Dpys",131,177,144,148,131,160
"Lrp12","Lrp12",9209,9683,11186,14457,14957,14366
"Zfpm2","Zfpm2",23,1,30,12,13,0
"Oxr1","Oxr1",2286,2968,2813,3160,3035,3062
"Csmd3","Csmd3",0,0,0,0,0,3
"Eif3h","Eif3h",5072,5794,5028,5816,5651,6091
"Utp23","Utp23",140,169,159,183,197,187
"Rad21","Rad21",759,862,857,1195,989,942
"Shcbp1","Shcbp1",203,272,136,261,226,269
"Rida","Rida",271,329,300,346,383,355
"Matn2","Matn2",1,2,2,0,0,1
"Pop1","Pop1",643,835,724,740,517,626
"Stk3","Stk3",1195,1366,1353,1709,1503,1552
"Zfat","Zfat",683,886,589,857,907,753
"Eif3e","Eif3e",3686,4515,3613,4340,3919,4300
"Emc2","Emc2",1088,1339,1197,1503,1242,1524
"Eny2","Eny2",362,530,381,380,407,409
"Ebag9","Ebag9",274,389,364,407,344,409
"Sybu","Sybu",1,0,1,0,0,0
"Myc","Myc",458,435,466,652,840,836
"Washc5","Washc5",5142,5670,5801,5370,4935,4245
"Sqle","Sqle",5527,6884,6079,7704,6781,6779
"Mtss1","Mtss1",3847,4189,4824,5833,5046,5064
"Ndufb9","Ndufb9",1783,2180,1918,2331,2191,2415
"Klhl38","Klhl38",119,117,120,84,85,81
"Fbxo32","Fbxo32",561,679,657,561,584,561
"Wdyhv1","Wdyhv1",136,210,206,259,236,281
"Atad2","Atad2",1404,1878,1932,2135,1925,1966
"Zhx1","Zhx1",611,728,560,698,737,593
"Tbc1d31","Tbc1d31",646,785,875,747,658,800
"Derl1","Derl1",5348,6251,6326,6038,6229,6048
"Mtbp","Mtbp",299,432,370,335,289,234
"Mrpl13","Mrpl13",865,946,842,1120,1097,1158
"Sla","Sla",363,487,370,658,490,475
"Adcy8","Adcy8",0,0,2,0,0,3
"Asap1","Asap1",1963,2188,2248,3125,2681,2479
"Fam49b","Fam49b",1087,1279,1155,1825,1676,1897
"Gtse1","Gtse1",684,1051,710,907,980,903
"Trmu","Trmu",239,344,317,300,302,274
"Brd1","Brd1",229,324,261,230,247,235
"Tef","Tef",1185,1318,1568,1399,1251,1259
"Zc3h7b","Zc3h7b",13,24,16,10,15,17
"Rangap1","Rangap1",2421,3048,2851,3428,3087,2719
"L3mbtl2","L3mbtl2",1374,1570,1456,1496,1514,1286
"Rbx1","Rbx1",3643,4529,3581,4854,4748,4645
"Xpnpep3","Xpnpep3",547,571,540,599,580,600
"St13","St13",3717,4696,4360,4879,4528,4453
"Slc25a17","Slc25a17",824,958,799,1182,1039,964
"Adsl","Adsl",2436,3052,2587,2752,2470,2648
"Mief1","Mief1",2062,1956,2160,2637,2088,1862
"Tab1","Tab1",1014,1220,1150,1136,961,1034
"Syngr1","Syngr1",8217,10080,8766,9848,10351,9863
"Deptor","Deptor",647,984,803,745,773,685
"Dnal4","Dnal4",1030,1305,1273,998,1253,1215
"Nptxr","Nptxr",1363,1541,1617,984,732,1092
"Dscc1","Dscc1",39,97,44,52,23,51
"Enpp2","Enpp2",0,0,2,0,1,2
"Josd1","Josd1",2241,2672,2389,2127,2297,2281
"Tomm22","Tomm22",2090,2467,2274,2689,2446,2501
"Cby1","Cby1",212,201,242,219,186,232
"Csnk1e","Csnk1e",1331,1751,1418,1384,1346,1479
"Fam118a","Fam118a",459,524,500,536,407,486
"Sh3bp1","Sh3bp1",105,153,108,144,124,105
"Samm50","Samm50",4058,5328,4564,4953,4499,4256
"Parvb","Parvb",335,346,397,355,297,340
"Parvg","Parvg",6526,8278,7778,5999,5274,5070
"C1qtnf6","C1qtnf6",16,17,19,21,11,23
"Efcab6","Efcab6",1,1,1,5,10,9
"Ttll1","Ttll1",757,847,767,899,995,860
"Myh9","Myh9",6820,7772,7915,8960,7834,6964
"Ndufa6","Ndufa6",2234,2418,2110,2642,2880,3098
"Twf1","Twf1",700,784,670,1301,1246,1315
"Smdt1","Smdt1",1651,1786,1593,1936,1709,1865
"Naga","Naga",8210,9761,9473,8772,8771,8469
"X45172","45172",329,332,442,443,274,432
"Slc38a2","Slc38a2",24545,27260,29443,19670,18638,17461
"Srebf2","Srebf2",4289,5347,4640,5380,5480,4796
"Slc38a4","Slc38a4",84,60,49,86,89,85
"Rpap3","Rpap3",605,648,670,823,798,692
"Rapgef3","Rapgef3",0,6,0,0,0,0
"Xrcc6","Xrcc6",1287,1700,1386,1801,1445,1251
"Desi1","Desi1",648,810,871,828,795,794
"Pmm1","Pmm1",776,935,852,935,889,1023
"Hdac7","Hdac7",146,263,158,141,140,107
"Polr3h","Polr3h",717,946,784,825,713,752
"Aco2","Aco2",14878,17945,16291,18702,16850,16946
"Vdr","Vdr",65,42,40,31,24,24
"Hoxc5","Hoxc5",37,36,32,27,19,51
"Nckap1l","Nckap1l",22839,26553,25885,29961,25943,25990
"Pde1b","Pde1b",87,134,53,77,67,55
"Tnfrsf17","Tnfrsf17",21,52,43,20,30,21
"Txndc11","Txndc11",1087,1415,1307,1288,1313,1161
"Litaf","Litaf",34981,39093,37729,72469,70650,69393
"Nubp1","Nubp1",569,669,549,525,563,613
"Ciita","Ciita",0,0,0,0,0,0
"X1810013L24Rik","1810013L24Rik",1255,1215,1318,2105,2057,2224
"Bcl6","Bcl6",734,671,857,1618,1487,1334
"Trp63","Trp63",1,0,0,0,1,0
"Il1rap","Il1rap",114,188,122,339,277,246
"Anks3","Anks3",231,354,258,267,285,217
"Nudt16l1","Nudt16l1",1176,1550,1411,1644,1753,1689
"Mgrn1","Mgrn1",5319,6719,6273,6404,6469,6175
"X4930562C15Rik","4930562C15Rik",22,22,1,30,46,11
"Srl","Srl",104,164,179,184,139,84
"Crebbp","Crebbp",630,800,717,836,802,874
"Zfp251","Zfp251",737,788,932,1033,810,615
"Zfp263","Zfp263",1093,1240,1257,1573,1295,1153
"Atp13a3","Atp13a3",971,1239,977,1307,950,1904
"Glyr1","Glyr1",5342,6827,6257,5657,5589,5720
"Tmem44","Tmem44",1,22,3,5,11,2
"Lsg1","Lsg1",1181,1488,1435,1475,1262,1085
"Rogdi","Rogdi",952,1254,1123,1390,1389,1388
"X4930451G09Rik","4930451G09Rik",23,16,7,19,11,11
"Eef2kmt","Eef2kmt",1061,1189,1134,1216,1351,1431
"Ercc4","Ercc4",747,808,844,1004,777,793
"Gpt","Gpt",2629,3296,3286,2786,2592,2382
"Adck5","Adck5",346,422,384,393,351,342
"Cyc1","Cyc1",6009,8356,6727,8957,8559,8783
"Sharpin","Sharpin",1165,1381,1093,1359,1312,1335
"Maf1","Maf1",3719,4438,4057,3587,3498,3396
"Hgh1","Hgh1",219,314,244,268,248,264
"Dgat1","Dgat1",1388,1561,1611,1451,1503,1668
"Hsf1","Hsf1",923,1111,1078,902,1043,1023
"Bop1","Bop1",2416,3203,2498,3009,2742,2695
"Mroh1","Mroh1",14815,17692,17802,16123,16940,15159
"Fbxl6","Fbxl6",586,777,710,536,622,656
"Slc52a2","Slc52a2",830,1004,933,1120,918,857
"Gpaa1","Gpaa1",1509,1901,1582,1832,2087,2008
"Oplah","Oplah",92,69,83,79,53,85
"Grina","Grina",10669,13053,11472,13995,14173,15567
"Plec","Plec",9213,10451,9905,9117,7911,7032
"Scrib","Scrib",666,819,625,580,347,593
"Tsta3","Tsta3",2544,3325,2891,2926,3146,3179
"Pycrl","Pycrl",832,1239,923,1139,968,1016
"Gsdmd","Gsdmd",2014,2540,2001,2641,2612,2151
"Ly6e","Ly6e",9610,12705,10371,27501,24261,22539
"Zbtb11","Zbtb11",625,639,600,940,838,860
"Arc","Arc",51,25,34,94,40,46
"Cep97","Cep97",69,47,69,73,59,55
"Ptk2","Ptk2",657,912,753,930,769,768
"Lmf2","Lmf2",1231,1674,1469,1302,1384,1290
"Tymp","Tymp",25,52,47,36,40,36
"Mapk8ip2","Mapk8ip2",0,0,0,0,0,0
"Arsa","Arsa",1937,2182,2168,2209,2156,2246
"Rabl2","Rabl2",241,263,233,278,233,227
"Kif21a","Kif21a",0,0,3,1,0,0
"Yaf2","Yaf2",580,747,696,636,591,896
"Zcrb1","Zcrb1",756,940,948,1170,1002,1097
"Alcam","Alcam",5600,5850,6200,4282,4579,4981
"Cblb","Cblb",557,506,710,1148,894,926
"Dubr","Dubr",156,257,296,200,157,278
"Bbx","Bbx",1444,1980,1917,1940,1928,1882
"Nectin3","Nectin3",0,0,0,0,0,0
"Tagln3","Tagln3",0,0,0,0,0,0
"Atg3","Atg3",1050,1338,1163,1293,1412,1474
"Slc35a5","Slc35a5",531,663,624,582,653,510
"Gtpbp8","Gtpbp8",654,705,742,693,588,582
"Mzt2","Mzt2",357,380,392,377,402,401
"Prkdc","Prkdc",419,412,515,505,323,349
"Mcm4","Mcm4",1441,1939,1495,2291,1660,1853
"Ube2v2","Ube2v2",220,209,161,158,202,179
"Fopnl","Fopnl",634,713,701,917,745,907
"Nde1","Nde1",677,886,832,912,818,704
"Mpv17l","Mpv17l",126,129,138,187,172,218
"Pdxdc1","Pdxdc1",3075,3335,3416,3579,3149,3116
"Ntan1","Ntan1",389,480,480,466,394,445
"Rrn3","Rrn3",1656,1950,2044,2477,2083,2055
"Bfar","Bfar",658,770,670,813,705,696
"Parn","Parn",1705,1965,1803,1959,1729,1477
"Naa50","Naa50",2150,2697,2402,2215,2315,2647
"Ccdc191","Ccdc191",115,117,104,51,99,88
"Hira","Hira",67,75,44,82,47,67
"Qtrt2","Qtrt2",119,165,151,122,83,112
"Mrpl40","Mrpl40",773,946,819,1014,795,848
"Gbe1","Gbe1",2117,2903,2572,1920,1839,1924
"Zbtb20","Zbtb20",142,256,237,285,246,178
"Usp7","Usp7",307,399,285,431,305,295
"Pmm2","Pmm2",796,852,751,777,717,714
"Dgcr8","Dgcr8",327,397,311,341,254,316
"Trmt2a","Trmt2a",2042,2642,2436,2392,2583,2214
"Arl6","Arl6",228,192,254,251,268,285
"Crybg3","Crybg3",647,858,857,1195,961,741
"Riox2","Riox2",666,713,649,926,756,719
"Cpox","Cpox",567,687,634,774,688,720
"Cldnd1","Cldnd1",945,939,978,1274,1113,1322
"St3gal6","St3gal6",26,14,48,11,1,6
"Cmss1","Cmss1",245,245,227,205,141,174
"Tbc1d23","Tbc1d23",863,1201,999,993,970,1080
"Klhl22","Klhl22",3021,3940,3275,3148,3202,3474
"Nit2","Nit2",792,1059,969,914,780,805
"Tomm70a","Tomm70a",2961,3699,3308,4053,3658,3567
"Tfg","Tfg",1706,1933,1877,2102,1801,1979
"Thap7","Thap7",628,721,635,616,632,633
"Lztr1","Lztr1",1454,1787,1533,1458,1374,1380
"Snap29","Snap29",684,721,746,1220,905,944
"Ccdc116","Ccdc116",15,24,24,28,0,5
"Sdf2l1","Sdf2l1",2319,2962,2408,3235,2851,2962
"Dlg1","Dlg1",613,674,738,800,684,684
"Ppil2","Ppil2",3205,4017,3531,3286,3426,2976
"Senp5","Senp5",750,821,1030,1090,1102,1136
"Ypel1","Ypel1",1,11,7,4,3,0
"Ncbp2","Ncbp2",648,698,677,761,660,830
"Top3b","Top3b",1025,1424,1396,1434,1197,1261
"Pak2","Pak2",1994,2288,2341,3078,2468,2461
"Wdr53","Wdr53",208,370,289,332,324,344
"Fgd4","Fgd4",241,255,235,118,154,72
"Dnm1l","Dnm1l",997,1296,1330,1631,1665,1824
"Igsf11","Igsf11",220,262,324,410,293,268
"Tnk2","Tnk2",30,42,18,45,35,25
"Yars2","Yars2",422,543,512,459,494,425
"B4galt4","B4galt4",0,8,7,7,0,2
"Tfrc","Tfrc",5357,6917,6804,6878,4965,6067
"Arhgap31","Arhgap31",1811,1673,1659,2346,2017,2072
"Fyttd1","Fyttd1",724,1129,1035,2039,2187,2227
"Lrch3","Lrch3",353,346,310,416,405,340
"Lmln","Lmln",37,25,47,58,68,21
"Maats1","Maats1",0,0,0,0,0,0
"Osbpl11","Osbpl11",1191,1402,1538,2049,1884,1954
"Snx4","Snx4",1850,2165,1895,2633,2362,2502
"Zfp148","Zfp148",928,1136,1041,1179,1292,1077
"Gsk3b","Gsk3b",1173,1259,1188,1688,1706,1605
"Umps","Umps",880,1077,845,1113,854,806
"Fstl1","Fstl1",0,0,0,0,0,6
"Itgb5","Itgb5",1100,1271,1087,1526,878,2026
"Ndufb4","Ndufb4",855,949,863,1053,1159,1275
"Abcc5","Abcc5",2264,2719,2707,3462,3382,3270
"Rabl3","Rabl3",229,190,228,324,248,302
"Gtf2e1","Gtf2e1",552,753,666,610,790,622
"Hcls1","Hcls1",1834,2291,1815,1974,1723,1588
"Ccdc14","Ccdc14",126,157,108,166,133,136
"Mylk","Mylk",1,0,0,1,1,1
"Iqcb1","Iqcb1",271,284,276,427,408,496
"Ap2m1","Ap2m1",8887,10516,9394,10889,10254,9758
"Clcn2","Clcn2",65,38,36,68,41,63
"Pdia5","Pdia5",349,475,440,453,370,347
"Dirc2","Dirc2",578,698,715,931,849,992
"Hspbap1","Hspbap1",289,293,414,432,362,409
"Senp2","Senp2",1876,2252,2158,2742,2304,2409
"Tmem41a","Tmem41a",1122,1341,1299,1286,1327,1259
"Tra2b","Tra2b",1742,2258,1875,2365,2327,2366
"Dgkg","Dgkg",177,263,285,84,131,108
"Btg3","Btg3",205,180,128,147,125,220
"D16Ertd472e","D16Ertd472e",103,144,117,86,146,63
"Usp25","Usp25",972,1067,1184,1498,1138,1907
"Samsn1","Samsn1",505,546,460,424,528,524
"Rfc4","Rfc4",502,612,457,605,512,537
"Robo1","Robo1",0,0,1,0,0,2
"Eif4a2","Eif4a2",1494,1817,1774,2099,2160,2170
"St6gal1","St6gal1",1845,2306,2167,2097,2412,2090
"Mrpl39","Mrpl39",1630,1666,1587,1959,1597,1889
"Atp5j","Atp5j",3579,3802,3038,4287,4231,4671
"App","App",11607,13926,13464,17622,16492,17943
"Adamts1","Adamts1",7360,7215,8502,18694,19898,18650
"Adamts5","Adamts5",0,0,0,0,0,0
"Ets2","Ets2",964,866,902,987,1169,1152
"Dyrk1a","Dyrk1a",452,435,438,397,310,307
"Vps26c","Vps26c",3075,3440,3076,4254,4380,4347
"Cd86","Cd86",1341,1102,1224,1620,1190,1244
"Kpna1","Kpna1",2114,2300,2318,3227,2846,2686
"Parp9","Parp9",845,1054,954,1422,1151,1052
"Arl13b","Arl13b",79,82,78,99,91,108
"Pros1","Pros1",0,0,0,0,0,0
"Psmg1","Psmg1",818,1065,889,935,811,782
"Brwd1","Brwd1",605,771,737,943,726,680
"Grik1","Grik1",0,0,0,0,0,0
"Pigp","Pigp",268,313,264,273,354,309
"Chaf1b","Chaf1b",2031,2698,2277,2904,2724,2651
"Dop1b","Dop1b",1205,1435,1338,1326,1354,1217
"Setd4","Setd4",119,75,66,94,95,104
"Rcan1","Rcan1",1612,1473,1707,2211,1961,1928
"Runx1","Runx1",551,794,679,754,609,633
"Atp5o","Atp5o",1110,1235,979,1282,1125,1203
"Itsn1","Itsn1",1063,1470,1119,2134,1902,1545
"Donson","Donson",307,365,301,420,406,474
"Son","Son",2899,2846,3271,3360,2876,2879
"Gart","Gart",2108,2729,2197,2597,2255,2335
"Tmem50b","Tmem50b",687,724,804,812,963,1038
"Ifngr2","Ifngr2",7743,8403,8067,10771,11731,11340
"Ifnar1","Ifnar1",2635,3173,3092,4844,4413,4613
"Il10rb","Il10rb",2265,2724,2771,3389,2992,3075
"Ifnar2","Ifnar2",1672,2004,1707,2631,2649,2449
"Cfap298","Cfap298",114,164,127,160,155,180
"Synj1","Synj1",1444,1632,1762,2362,1996,1783
"Paxbp1","Paxbp1",242,256,270,311,203,257
"Mis18a","Mis18a",209,397,261,418,350,422
"Sod1","Sod1",583,768,635,708,676,642
"Scaf4","Scaf4",1075,1620,1448,1477,1395,1431
"Krt75","Krt75",0,3,0,0,0,0
"Kansl2","Kansl2",2445,3449,3070,2828,3072,2720
"Adcy6","Adcy6",31,27,34,18,39,9
"Enah","Enah",3,8,0,6,0,0
"Lmbr1l","Lmbr1l",436,508,392,469,553,513
"Dhh","Dhh",0,0,0,0,0,0
"Tuba1b","Tuba1b",11810,17706,12550,17208,13525,14188
"Prpf40b","Prpf40b",911,977,1005,1039,1103,1041
"Fmnl3","Fmnl3",1809,2169,2028,1894,2160,1829
"Nckap5l","Nckap5l",36139,41953,41290,36459,37616,34317
"Tmbim6","Tmbim6",10968,13136,12167,13662,13454,12602
"Faim2","Faim2",2,4,19,0,1,0
"Racgap1","Racgap1",1961,2967,2252,3366,2500,2287
"Asic1","Asic1",12,7,18,13,9,15
"Smarcd1","Smarcd1",799,920,976,739,846,659
"Gpd1","Gpd1",10,3,1,7,5,1
"Cox14","Cox14",2515,3086,2603,3205,3425,3500
"Cers5","Cers5",2259,2547,2386,2213,2013,1950
"Lima1","Lima1",1482,1698,1694,2098,2040,1643
"Larp4","Larp4",3267,4285,3954,4744,4336,5324
"Dip2b","Dip2b",4641,5305,5237,6025,5348,4541
"Atf1","Atf1",946,1433,1378,1949,2077,2115
"Slc11a2","Slc11a2",4890,5037,5444,9519,10365,9182
"Cela1","Cela1",649,785,785,652,676,821
"Slc4a8","Slc4a8",138,205,197,502,768,655
"Scn8a","Scn8a",22,16,18,3,20,9
"Nr4a1","Nr4a1",322,277,407,411,424,376
"Csad","Csad",313,382,387,275,264,313
"Soat2","Soat2",600,626,764,355,600,566
"Igfbp6","Igfbp6",72,80,90,166,141,156
"Amhr2","Amhr2",1012,1181,1070,858,948,964
"Prr13","Prr13",10142,12579,12106,18477,19322,19336
"Map3k12","Map3k12",1253,1617,1328,1608,1410,1231
"Tarbp2","Tarbp2",1099,1210,1186,1156,1235,1203
"Calcoco1","Calcoco1",4172,4764,4769,4364,4338,4054
"Rttn","Rttn",685,710,628,786,868,614
"Cdkn1a","Cdkn1a",6596,8586,7365,9081,8927,9673
"Nus1","Nus1",1631,1932,1843,2486,2622,2450
"Cep89","Cep89",573,826,776,769,621,527
"Mospd1","Mospd1",532,715,609,681,688,746
"Akirin1","Akirin1",1363,1396,1611,2929,2922,3088
"Gtf2ird1","Gtf2ird1",790,1032,993,1163,1072,1053
"Noct","Noct",186,178,196,243,213,261
"Abcc1","Abcc1",5993,7145,6914,8167,8061,8231
"Ndufa5","Ndufa5",964,1046,980,1152,1087,1230
"Rfc2","Rfc2",5210,6489,5872,6275,6408,6164
"Denr","Denr",1202,1588,1324,1693,1576,1645
"Prmt5","Prmt5",2492,3192,2797,2566,2352,2239
"Sympk","Sympk",2595,3272,2945,2735,2886,2503
"Nagpa","Nagpa",3619,4353,4046,4117,3638,3573
"Wrb","Wrb",649,898,611,820,703,598
"Ivns1abp","Ivns1abp",3921,5100,4631,4599,4027,3991
"Rpp14","Rpp14",654,647,782,726,592,755
"Slc38a1","Slc38a1",9753,10761,10915,9364,8845,8241
"Gps2","Gps2",917,1172,1182,835,819,801
"Bsg","Bsg",9255,12398,10547,14571,13933,14213
"Vwa5a","Vwa5a",5517,5998,5963,7319,6592,6772
"P3h3","P3h3",290,333,241,328,201,338
"Il15ra","Il15ra",187,236,185,312,262,250
"Ccl25","Ccl25",137,181,152,177,126,120
"Parp3","Parp3",1133,1348,1283,1523,1416,1367
"Slc26a6","Slc26a6",582,499,577,632,717,647
"Acy1","Acy1",2586,3663,2826,2620,2484,2308
"Frs3","Frs3",25,33,59,41,52,36
"Creld2","Creld2",955,1221,1018,1295,1219,1223
"Cd4","Cd4",39,89,49,75,56,35
"Twf2","Twf2",1475,1837,1559,1466,1297,1348
"Zfp605","Zfp605",56,80,98,104,130,169
"Ube2j2","Ube2j2",1386,1673,1536,1590,1488,1621
"X44990","44990",2587,2924,3090,4009,4026,3737
"Dtwd1","Dtwd1",534,565,596,605,580,531
"Mx2","Mx2",9,25,8,29,9,14
"Poc1a","Poc1a",467,584,407,628,558,477
"Trip6","Trip6",273,427,276,155,149,140
"Clec4n","Clec4n",459,487,385,805,707,918
"Agap3","Agap3",1501,1748,1486,1347,925,2017
"Tmem176a","Tmem176a",2240,2978,2381,5401,5044,5009
"Slc17a9","Slc17a9",314,497,417,396,356,283
"Gnb3","Gnb3",604,585,620,538,632,468
"Pisd","Pisd",1280,1537,1363,1393,1463,1467
"Tpi1","Tpi1",43028,57050,47997,49205,43087,44454
"Rab12","Rab12",636,737,757,889,558,1000
"Tulp2","Tulp2",11,6,3,15,5,1
"Celsr3","Celsr3",744,985,1137,762,840,735
"Pcbp4","Pcbp4",241,339,233,336,393,325
"Cdca3","Cdca3",996,1260,970,1602,1365,1222
"Ccndbp1","Ccndbp1",1547,2005,1872,2079,2011,2277
"Ogfod2","Ogfod2",667,901,892,815,1064,1076
"Mrps23","Mrps23",806,918,774,755,951,978
"Rhebl1","Rhebl1",323,305,280,333,263,236
"Sfi1","Sfi1",188,229,278,183,172,210
"Pigx","Pigx",373,400,433,334,428,414
"Tiam2","Tiam2",36,53,89,55,61,52
"Synj2","Synj2",955,1049,1176,969,840,701
"Rsph3b","Rsph3b",216,208,184,237,182,214
"Rps6ka2","Rps6ka2",5891,5679,6801,3538,3656,3515
"Prkn","Prkn",154,211,147,220,198,121
"Agpat4","Agpat4",398,473,499,595,612,511
"Slc22a3","Slc22a3",0,1,0,0,0,0
"Igf2r","Igf2r",7211,6722,8040,7622,6860,5822
"Acat2","Acat2",385,677,471,981,530,622
"Lnpep","Lnpep",560,511,559,737,645,655
"Chd1","Chd1",1325,1426,1370,1740,1482,1573
"Mpc1","Mpc1",1241,1502,1300,1394,1690,1799
"Pde10a","Pde10a",138,154,92,188,215,265
"X1700010I14Rik","1700010I14Rik",62,44,71,113,75,109
"Zfp54","Zfp54",48,61,53,61,88,109
"Phf10","Phf10",828,952,926,953,972,949
"Zfp51","Zfp51",246,193,246,214,222,315
"Hcfc1r1","Hcfc1r1",1100,1336,1216,1608,1789,1748
"Tnfrsf12a","Tnfrsf12a",709,835,645,659,932,756
"Pkmyt1","Pkmyt1",355,431,311,430,376,304
"Paqr4","Paqr4",72,96,101,113,87,112
"Pla2g7","Pla2g7",56,62,65,46,34,56
"Tnfrsf21","Tnfrsf21",211,224,342,393,299,509
"Cenpq","Cenpq",134,239,126,158,107,115
"Mut","Mut",1732,2170,1989,2208,2071,1903
"Tbc1d5","Tbc1d5",2537,2692,2677,2213,2146,2224
"Satb1","Satb1",0,0,0,1,1,0
"Cdc5l","Cdc5l",1646,2114,1936,2422,1907,1754
"Spats1","Spats1",0,3,0,0,0,0
"Aars2","Aars2",999,1238,1089,1146,1342,1247
"Mrpl14","Mrpl14",1731,1858,1580,2557,2426,2237
"Sgo1","Sgo1",276,235,320,310,259,272
"Slc29a1","Slc29a1",5856,7117,6717,5235,5557,5569
"Hsp90ab1","Hsp90ab1",35175,44044,37599,36968,29407,28887
"Nfkbie","Nfkbie",532,600,549,760,814,820
"Vegfa","Vegfa",2196,2537,2326,2222,2199,2384
"Gtpbp2","Gtpbp2",2640,2612,2949,1919,2630,2609
"Polh","Polh",288,546,355,548,422,327
"Fbxl17","Fbxl17",745,799,833,662,664,834
"Mrps18a","Mrps18a",2965,3199,2974,3807,3670,3589
"Rrp36","Rrp36",711,956,780,1006,947,941
"Cnpy3","Cnpy3",2760,3567,3188,3063,2975,2916
"Ubr2","Ubr2",6099,6590,6717,6086,5777,5338
"Guca1b","Guca1b",6,3,0,0,0,0
"Taf8","Taf8",657,853,574,821,767,770
"Guca1a","Guca1a",274,296,233,301,339,285
"Gm20517","Gm20517",8,3,17,4,8,8
"Bysl","Bysl",1318,1841,1546,1490,1537,1559
"Tfeb","Tfeb",816,1100,1016,870,973,954
"Foxp4","Foxp4",292,443,351,401,424,347
"Trem2","Trem2",8835,10301,9809,11878,11119,11674
"Nfya","Nfya",438,501,428,602,582,473
"Brd4","Brd4",2568,2906,2820,3088,2607,2859
"Stk38","Stk38",2650,3007,3081,3322,2681,2602
"Ppil1","Ppil1",636,765,613,694,647,626
"Pi16","Pi16",16,11,10,20,16,13
"Mtch1","Mtch1",4784,6494,5340,5352,4187,6757
"Fgd2","Fgd2",595,1033,523,562,465,345
"Pim1","Pim1",441,435,507,667,671,531
"Ccdc167","Ccdc167",22,21,18,25,27,27
"Cmtr1","Cmtr1",6,15,25,16,33,14
"Glo1","Glo1",982,1064,915,1148,1018,1143
"Glp1r","Glp1r",1,0,0,0,0,0
"Abcg1","Abcg1",6537,7445,7369,9049,9077,8806
"Slc37a1","Slc37a1",454,653,689,529,547,394
