"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Fermt3","Fermt3",12866,16484,14164,22340,16880,19601
"Stip1","Stip1",5371,6952,5998,12245,8345,9875
"Rcor2","Rcor2",129,108,103,121,73,77
"Mark2","Mark2",2623,3227,3122,3628,2720,3133
"Spindoc","Spindoc",495,805,656,818,606,753
"Smc3","Smc3",613,839,692,1214,695,739
"Pdcd4","Pdcd4",103,213,178,181,84,150
"Shoc2","Shoc2",912,1096,1097,1683,1011,1060
"Gpam","Gpam",1200,1565,1576,1937,1236,1553
"Acsl5","Acsl5",2885,3168,2832,10178,7036,7381
"Zdhhc6","Zdhhc6",2430,2957,2809,7843,4705,5511
"Vti1a","Vti1a",1578,1777,1814,4379,2792,3152
"Tcf7l2","Tcf7l2",246,324,333,231,146,157
"Hhex","Hhex",1008,1337,1125,1282,710,799
"Cep55","Cep55",273,409,298,1233,552,747
"Eif3a","Eif3a",6401,7338,6758,13550,7547,8489
"Fam45a","Fam45a",639,710,648,1840,1088,1289
"Prdx3","Prdx3",3681,4765,3999,7867,4899,6184
"Plce1","Plce1",0,0,0,0,0,1
"Noc3l","Noc3l",508,698,634,1526,1012,1147
"Hells","Hells",396,496,371,1234,805,1053
"Sorbs1","Sorbs1",426,717,543,514,366,394
"Aldh18a1","Aldh18a1",8522,10092,9917,11216,8454,9055
"Tctn3","Tctn3",976,748,942,930,651,692
"Ccnj","Ccnj",173,73,140,270,113,126
"Tm9sf3","Tm9sf3",5417,7539,6677,13422,7010,8275
"Pik3ap1","Pik3ap1",12540,14990,15186,24248,17199,19204
"Lcor","Lcor",83,101,136,145,83,102
"Slit1","Slit1",24,50,29,18,7,12
"Smndc1","Smndc1",465,575,568,1095,624,798
"Mxi1","Mxi1",2622,3168,3319,2976,1418,1504
"Add3","Add3",1558,1906,1690,2166,1270,1412
"Xpnpep1","Xpnpep1",10516,12668,11211,14406,10400,12103
"Trim8","Trim8",3301,4054,3891,5514,3713,4245
"Arl3","Arl3",334,479,362,554,390,431
"Sfxn2","Sfxn2",127,243,137,456,316,320
"Maoa","Maoa",2507,3095,2883,11949,7461,8591
"Fundc1","Fundc1",574,850,687,1223,556,725
"Nt5c2","Nt5c2",1522,1829,1487,2522,1749,1936
"Msr1","Msr1",222,229,203,1501,1002,1403
"Pdcd11","Pdcd11",2521,2855,2782,4356,3100,3452
"Taf5","Taf5",377,611,487,695,412,456
"Pcgf6","Pcgf6",696,794,691,1470,875,1051
"X5430427O19Rik","5430427O19Rik",397,462,342,685,400,536
"Gk","Gk",851,1168,967,2968,1599,2180
"Slk","Slk",1114,1244,1380,1415,580,599
"Col17a1","Col17a1",0,0,0,0,2,6
"Sfr1","Sfr1",1855,2237,2035,3730,2256,2682
"Gsto1","Gsto1",9012,10773,10041,15515,11097,13020
"Gsto2","Gsto2",63,51,64,52,19,36
"Casp7","Casp7",565,609,493,1551,951,988
"Dclre1a","Dclre1a",414,497,499,528,391,419
"Nhlrc2","Nhlrc2",819,1072,1072,1652,1045,1094
"Ablim1","Ablim1",22,26,37,33,15,1
"Trub1","Trub1",448,548,520,676,618,592
"Gfra1","Gfra1",4,5,2,138,109,106
"Hspa12a","Hspa12a",8,3,21,13,3,6
"Slc18a2","Slc18a2",19,21,37,30,13,27
"X3110040N11Rik","3110040N11Rik",298,345,277,664,384,457
"Btbd1","Btbd1",1177,1770,1541,1901,1082,1027
"P4hb","P4hb",22599,28443,25576,38836,29595,32753
"Arhgdia","Arhgdia",17491,21239,19693,27095,19417,23233
"Ints4","Ints4",3173,3825,3398,3826,2518,2622
"Alyref","Alyref",1933,2376,1845,4841,3170,3042
"Anapc11","Anapc11",1145,1399,1087,2498,1827,1988
"Pcyt2","Pcyt2",1296,1742,1590,3305,2500,2598
"Sirt7","Sirt7",2273,3086,2605,2562,2043,2279
"Tollip","Tollip",7368,8097,7898,7999,5256,5706
"Pycr1","Pycr1",420,520,530,377,176,259
"Myadml2","Myadml2",48,83,28,41,11,18
"Aspscr1","Aspscr1",1471,1937,1839,2230,1657,1899
"Cenpx","Cenpx",869,1248,934,1342,861,1136
"Lrrc45","Lrrc45",483,598,541,797,526,590
"Mob2","Mob2",869,1222,978,1352,1020,1170
"Cbr2","Cbr2",731,969,751,192,129,196
"Maged1","Maged1",11810,15302,13225,6355,3994,4846
"Fasn","Fasn",10914,12147,11293,17848,14352,15653
"Arhgap19","Arhgap19",4923,5717,5702,3728,2306,2349
"Dus1l","Dus1l",2310,2912,2739,3983,2981,3725
"Gps1","Gps1",3389,4130,3711,6510,5197,5949
"Zdhhc16","Zdhhc16",1152,1378,1272,1901,1382,1603
"Rfng","Rfng",760,798,834,969,758,818
"Mms19","Mms19",2449,3313,2937,3580,2479,2608
"Csnk1d","Csnk1d",4929,5561,5579,6061,4198,4682
"Ogfod3","Ogfod3",262,403,265,325,249,299
"Ubtd1","Ubtd1",2052,2314,2242,1975,1425,1662
"Wdr45b","Wdr45b",1798,2008,1819,2445,1825,1802
"Hoga1","Hoga1",57,59,41,42,28,44
"Pi4k2a","Pi4k2a",3507,4187,3453,3739,2326,2259
"R3hcc1l","R3hcc1l",473,597,595,1123,571,586
"Hps1","Hps1",2538,3330,2861,2571,1851,2223
"Cnnm1","Cnnm1",59,41,40,84,46,60
"Got1","Got1",7080,8699,7899,10690,6872,8581
"Entpd7","Entpd7",515,675,605,778,446,461
"Cutc","Cutc",264,427,393,372,291,281
"Abcc2","Abcc2",145,165,161,434,271,331
"Dnmbp","Dnmbp",598,687,674,520,401,428
"Erlin1","Erlin1",1379,1408,1444,1929,1189,1321
"Chuk","Chuk",1049,1270,1345,1826,999,1321
"Cwf19l1","Cwf19l1",631,691,641,972,595,693
"Scd3","Scd3",3,5,7,13,6,6
"Scd2","Scd2",43425,58223,49897,94410,57801,62822
"Ndufb8","Ndufb8",3179,3835,2999,5194,3682,4450
"Sema4g","Sema4g",4,2,2,0,0,0
"Mrpl43","Mrpl43",639,897,786,1082,612,822
"Twnk","Twnk",1231,1607,1495,1657,1236,1205
"Sfxn3","Sfxn3",3196,4026,3847,2945,2089,2472
"Kazald1","Kazald1",10,34,17,29,20,10
"Tlx1","Tlx1",23,5,1,8,21,22
"Lbx1","Lbx1",25,20,34,65,16,46
"Btrc","Btrc",1603,1858,1797,1990,1381,1502
"Poll","Poll",574,793,593,725,498,573
"Mgea5","Mgea5",4526,5260,5717,6729,3924,4318
"Ldb1","Ldb1",1628,1952,1838,2073,1471,1694
"Gbf1","Gbf1",3036,3663,3231,4061,2629,3084
"Nfkb2","Nfkb2",1546,1556,1562,6343,4570,5505
"Fbxl15","Fbxl15",141,151,121,268,220,275
"Mfsd13a","Mfsd13a",1532,1893,1704,3102,2333,2561
"Actr1a","Actr1a",5217,6597,5547,8433,6098,7300
"Sufu","Sufu",1265,1529,1157,1316,1069,1190
"Hexa","Hexa",31206,37372,35206,29479,20715,24269
"Arih1","Arih1",1634,1835,1732,3430,1512,1357
"Bbs4","Bbs4",43,72,54,155,101,122
"Adpgk","Adpgk",539,682,768,1388,1095,1204
"Parp6","Parp6",471,566,586,653,348,512
"Limd1","Limd1",3754,4276,3991,5793,3779,4210
"Sacm1l","Sacm1l",1012,1196,1092,1463,715,1015
"Fyco1","Fyco1",856,925,923,1455,1001,939
"Lztfl1","Lztfl1",169,175,200,323,213,302
"Tbl1x","Tbl1x",2720,3047,2744,4492,2789,2933
"Ribc1","Ribc1",133,136,124,94,108,51
"Hsd17b10","Hsd17b10",2730,3009,2862,3551,2397,2894
"Huwe1","Huwe1",3639,3681,3863,5108,3754,3737
"Fam120c","Fam120c",47,34,41,183,131,122
"Tsr2","Tsr2",328,411,263,863,602,684
"Gnl3l","Gnl3l",2111,2262,2263,3260,2016,2129
"Maged2","Maged2",3580,4293,3913,5314,4161,4598
"Apex2","Apex2",361,417,387,587,400,433
"Pfkfb1","Pfkfb1",34,134,93,218,126,178
"Abhd6","Abhd6",241,375,273,363,282,326
"Flnb","Flnb",6345,6074,8132,9830,8330,8555
"Polr3a","Polr3a",1615,1857,1912,2179,1751,1987
"Sat1","Sat1",26578,28256,27196,20884,12538,14133
"Acot9","Acot9",1963,2110,1867,4032,2513,2779
"Prdx4","Prdx4",3174,3614,3042,5007,3958,4272
"Rps24","Rps24",2947,2941,2700,6712,4553,4669
"Ptprj","Ptprj",1849,2129,1952,5914,3712,3195
"Banp","Banp",833,999,840,1157,882,932
"Jph3","Jph3",20,35,33,108,48,52
"Itgb8","Itgb8",0,0,0,0,0,0
"Sp4","Sp4",52,91,90,73,8,53
"Atp10a","Atp10a",222,250,219,658,432,507
"Ube3a","Ube3a",663,1001,800,1066,537,857
"Kdm5c","Kdm5c",6392,8084,7625,7276,5051,5691
"Sbds","Sbds",831,1052,805,1364,920,1030
"Rabgef1","Rabgef1",906,1196,1104,1371,901,981
"Itga7","Itga7",432,513,505,961,835,804
"Cd63","Cd63",48826,54582,52453,49572,35345,39644
"Ormdl2","Ormdl2",386,412,379,811,660,623
"Dnajc14","Dnajc14",1420,1853,1846,2738,1768,1912
"Mmp19","Mmp19",1040,1117,1115,768,526,573
"Dgka","Dgka",191,232,251,517,281,389
"Cdk2","Cdk2",1327,1687,1597,2423,1643,1901
"Rps26","Rps26",3868,4489,4008,5116,3573,4157
"Pa2g4","Pa2g4",1845,2446,2127,5691,4440,4805
"Esyt1","Esyt1",10579,12909,12169,12391,9683,11428
"Smarcc2","Smarcc2",4251,5277,4519,4712,3225,3823
"Chmp6","Chmp6",2038,2287,1939,2866,2230,2503
"Baiap2","Baiap2",944,1114,1037,1301,953,1265
"Rnf41","Rnf41",2175,2243,2299,2838,2120,2402
"Nabp2","Nabp2",447,492,532,791,689,757
"Aatk","Aatk",1791,2217,2315,1935,1317,1303
"Tepsin","Tepsin",576,604,580,780,648,704
"Cnpy2","Cnpy2",2592,2835,2676,2750,1900,2077
"Il23a","Il23a",32,19,27,154,86,118
"Faap100","Faap100",621,824,604,561,450,498
"Atp5b","Atp5b",54279,67893,58892,102835,73944,87765
"Prim1","Prim1",210,278,163,904,592,694
"Nab2","Nab2",656,787,883,354,196,260
"Shmt2","Shmt2",6875,8862,7580,11310,9872,11257
"R3hdm2","R3hdm2",1437,1718,1639,1986,1007,1151
"Ddit3","Ddit3",1797,1821,2133,3238,2397,2620
"Mbd6","Mbd6",106,183,143,123,97,122
"Dctn2","Dctn2",3502,4392,4229,4984,3734,4301
"Ttc4","Ttc4",1613,2157,2031,2773,1830,2147
"Pip4k2c","Pip4k2c",2977,3706,3416,3856,2622,3207
"Katnal2","Katnal2",31,57,33,137,57,98
"Hdhd2","Hdhd2",110,99,158,130,136,60
"Pias2","Pias2",952,1166,1177,1795,1031,1220
"Atp5a1","Atp5a1",25602,32284,27688,48130,33579,38704
"Pstpip2","Pstpip2",31,14,10,493,286,370
"Atp23","Atp23",130,153,151,328,145,202
"Usp33","Usp33",1192,1605,1255,1773,957,1096
"Clns1a","Clns1a",2321,2718,2230,5378,3801,3868
"Paip1","Paip1",83,74,65,90,34,50
"Paox","Paox",743,1019,856,393,256,393
"Echs1","Echs1",2521,2922,2756,5012,3125,3811
"Zfp511","Zfp511",318,417,316,575,371,415
"Adam8","Adam8",2183,2525,2559,6228,5613,5973
"Tubgcp2","Tubgcp2",1311,1596,1574,2200,1482,1521
"Inpp5a","Inpp5a",1086,1354,1290,997,566,566
"Bet1l","Bet1l",182,190,165,227,161,167
"Ric8a","Ric8a",1757,1898,1731,2004,1660,1620
"Sirt3","Sirt3",297,354,367,348,223,265
"Psmd13","Psmd13",3569,4742,4140,6625,5030,5704
"Ifitm3","Ifitm3",515,647,537,2164,1849,2200
"Ptdss2","Ptdss2",1733,1917,1562,1799,1302,1537
"Irf7","Irf7",1997,2651,2067,8310,7011,8041
"Hras","Hras",756,888,778,1729,1250,1232
"Taldo1","Taldo1",15342,18643,16304,20512,15103,17542
"Tmem80","Tmem80",207,279,272,490,311,442
"Pidd1","Pidd1",134,191,127,555,378,717
"Rplp2","Rplp2",4954,5522,5016,7148,5750,6532
"Pnpla2","Pnpla2",5188,6296,5997,4043,2893,3401
"Cd151","Cd151",348,289,292,272,189,168
"Tspan4","Tspan4",2260,3153,2599,3238,2637,2867
"Chid1","Chid1",2093,2437,2220,3354,2554,2802
"Tmem192","Tmem192",1788,2034,1834,4208,2875,3268
"Apool","Apool",624,805,740,1445,939,1214
"Chm","Chm",504,732,726,928,502,769
"Crcp","Crcp",350,416,413,930,643,644
"Asl","Asl",2244,2721,2695,3655,2429,3006
"Gusb","Gusb",30091,31930,32069,35640,26581,29469
"Phkg1","Phkg1",13,27,4,14,11,7
"Sumf2","Sumf2",788,902,723,1440,975,1126
"Tm9sf2","Tm9sf2",4057,5031,4464,6082,3437,4134
"Clybl","Clybl",935,1005,1001,1167,831,1011
"Farp1","Farp1",658,902,725,1201,776,808
"Dock9","Dock9",771,780,735,749,384,390
"Tnrc6c","Tnrc6c",262,264,309,210,188,190
"Tmc6","Tmc6",1353,1648,1632,1646,1152,1391
"Tk1","Tk1",527,754,582,2121,1451,1842
"Cant1","Cant1",1331,1809,1753,1971,1249,1608
"Rbfox3","Rbfox3",0,0,0,0,0,0
"Cbx2","Cbx2",574,643,676,498,302,357
"Cbx8","Cbx8",156,210,110,165,142,130
"Gaa","Gaa",12195,13698,13708,25270,18524,21728
"Eif4a3","Eif4a3",4249,5469,4667,6444,4924,5674
"Rptor","Rptor",1683,2310,1861,2147,1612,1872
"Pde8a","Pde8a",611,711,660,1279,584,460
"Cpeb1","Cpeb1",2358,2545,2518,2396,1331,1479
"Tma16","Tma16",232,259,261,1549,902,1144
"Zfp202","Zfp202",249,256,291,333,229,265
"Copg2","Copg2",2259,2610,2319,3348,1973,2221
"Mkln1","Mkln1",2530,2988,2836,4416,2290,3071
"Bach1","Bach1",377,404,316,554,300,226
"Cct8","Cct8",10295,11849,11001,21992,14590,16148
"Usp16","Usp16",357,356,418,842,360,478
"Phf6","Phf6",552,579,596,1512,867,1031
"Hprt","Hprt",2739,3495,2743,6644,4145,4656
"Ccdc51","Ccdc51",388,457,397,584,471,534
"Atrip","Atrip",502,780,663,750,657,678
"Shisa5","Shisa5",3769,4804,4333,7198,5022,6574
"Pfkfb4","Pfkfb4",1039,1522,1401,1297,850,975
"Col7a1","Col7a1",693,845,666,792,576,702
"Uqcrc1","Uqcrc1",10167,13897,11934,16868,12846,15278
"X44993","44993",1914,2108,2015,2820,1946,2222
"Myo3a","Myo3a",0,0,0,2,0,0
"Wdr73","Wdr73",744,884,783,1418,1121,1279
"Sec11a","Sec11a",1271,1765,1517,2470,1625,1995
"Pigq","Pigq",2323,2958,2573,2755,1983,2319
"Rab40c","Rab40c",2372,2537,2666,2195,1387,1747
"Mettl26","Mettl26",536,685,595,769,469,624
"Mcrip2","Mcrip2",395,532,465,848,634,799
"Rhot2","Rhot2",51,95,101,161,129,121
"Jmjd8","Jmjd8",230,347,272,285,219,184
"Wdr24","Wdr24",928,1175,1213,1231,869,1028
"Fbxl16","Fbxl16",140,164,138,181,167,138
"Prps2","Prps2",763,1154,841,2091,1041,1474
"Sdc3","Sdc3",12588,16472,14474,6433,3895,3936
"Hadha","Hadha",3300,4041,3763,3353,2560,2960
"Il6","Il6",0,0,0,34,17,27
"Tyms","Tyms",355,444,321,1677,1300,1455
"Hspa4l","Hspa4l",70,82,146,500,358,349
"Plk4","Plk4",130,200,169,475,262,384
"Mfsd8","Mfsd8",80,131,83,240,99,180
"Larp1b","Larp1b",19,14,6,28,9,39
"Jade1","Jade1",452,497,448,1822,944,1083
"D3Ertd751e","D3Ertd751e",28,53,21,71,35,61
"Gdap1","Gdap1",0,0,0,1,0,0
"Ly96","Ly96",272,260,269,353,217,302
"Atp5c1","Atp5c1",15180,17693,15523,26914,17957,20874
"Taf3","Taf3",621,767,748,1164,783,835
"Exosc7","Exosc7",942,1094,894,2058,1280,1522
"Zdhhc3","Zdhhc3",2330,2763,2402,3895,2945,3056
"Slco3a1","Slco3a1",0,0,0,0,0,0
"Pgm1","Pgm1",9184,12172,11459,14660,10259,12401
"Slc25a10","Slc25a10",1922,2542,2127,4427,3457,3945
"Rpl14","Rpl14",8686,9996,8224,13225,9158,10157
"Rassf3","Rassf3",1886,2104,2162,1997,1113,1344
"Ccr1","Ccr1",385,544,431,57,77,56
"Itgb1","Itgb1",11006,12333,11791,15029,9036,10229
"Nrp1","Nrp1",5437,6075,6280,7149,3931,4014
"Pard3","Pard3",0,0,1,1,0,4
"Sec61a2","Sec61a2",892,939,917,2381,1674,1910
"Nudt5","Nudt5",1580,1861,1682,3908,2361,2746
"Zfp282","Zfp282",532,594,634,726,421,532
"Pdia4","Pdia4",4189,5371,4729,9310,6812,7248
"Iscu","Iscu",1674,1934,1533,3689,2534,2889
"Fam20c","Fam20c",5605,6250,6488,44951,34723,40158
"Prkar1b","Prkar1b",2767,2906,3173,5056,3423,4035
"Pdgfa","Pdgfa",1566,1617,1492,1446,1029,1237
"Dnaaf5","Dnaaf5",1193,1483,1131,2186,1016,1007
"Get4","Get4",2749,3333,2860,4840,4074,4349
"Xiap","Xiap",152,277,169,301,141,187
"Stag2","Stag2",2353,2829,2729,2802,1419,1961
"Higd2a","Higd2a",2287,2716,2563,3065,2112,2457
"Nop16","Nop16",2351,2765,2559,5531,3758,4254
"Arl10","Arl10",272,307,290,431,298,236
"X4833439L19Rik","4833439L19Rik",3982,4778,4661,7909,4945,5467
"Thoc3","Thoc3",1603,1916,1573,1955,1344,1430
"Faf2","Faf2",3067,3451,3405,4553,3037,3203
"Tspan17","Tspan17",567,630,675,801,593,682
"Hk3","Hk3",24385,29955,27154,20948,17754,19771
"Uimc1","Uimc1",537,629,456,1009,668,752
"Smad7","Smad7",88,131,72,50,40,28
"Casp1","Casp1",1013,1319,1158,2813,1904,2249
"Kbtbd3","Kbtbd3",28,47,46,66,26,40
"Aasdhppt","Aasdhppt",451,537,457,897,424,611
"Cwf19l2","Cwf19l2",146,207,165,213,123,148
"Alkbh8","Alkbh8",193,272,234,342,144,201
"Lypla1","Lypla1",331,405,417,1047,396,785
"Rb1cc1","Rb1cc1",1033,1023,1142,989,566,783
"Sntg1","Sntg1",0,0,0,0,0,0
"Adhfe1","Adhfe1",385,481,475,2243,1522,1641
"Sgk3","Sgk3",498,573,601,878,521,556
"Cops5","Cops5",2314,2782,2296,4890,3586,3764
"Stau2","Stau2",962,1037,1007,1821,1133,1355
"Rdh10","Rdh10",40,92,95,29,20,37
"Terf1","Terf1",258,447,374,660,293,470
"Eya1","Eya1",16,7,4,18,3,4
"Tmem14a","Tmem14a",15,15,8,48,38,43
"Gsta3","Gsta3",4,0,4,77,56,43
"Tram1","Tram1",3534,4698,4328,7756,4416,5377
"Lactb2","Lactb2",743,972,863,2151,1243,1625
"Ube2w","Ube2w",504,729,823,1188,623,858
"Tmem70","Tmem70",1416,1468,1382,2452,1498,1616
"Pikfyve","Pikfyve",1884,2411,2273,2988,1551,1914
"Idh1","Idh1",3442,4813,3865,11857,6931,7830
"Akr1cl","Akr1cl",0,0,0,0,0,0
"Mettl21a","Mettl21a",335,389,280,542,364,373
"Creb1","Creb1",458,570,454,932,409,473
"Klf7","Klf7",282,276,391,572,374,396
"Fastkd2","Fastkd2",1290,1350,1460,2480,1569,1564
"Adam23","Adam23",0,0,0,0,0,0
"Eef1b2","Eef1b2",3927,4779,4104,6311,4601,5092
"Ndufs1","Ndufs1",6098,7396,6906,9865,5834,6723
"Nrp2","Nrp2",4429,4606,5001,24517,15920,17938
"Maip1","Maip1",395,514,433,822,473,564
"Rftn2","Rftn2",208,207,202,261,184,248
"Mob4","Mob4",663,815,633,1022,504,835
"Hspd1","Hspd1",10337,13571,11416,32569,18912,22675
"Coq10b","Coq10b",194,213,188,589,390,358
"Sf3b1","Sf3b1",4444,5738,5263,9784,5569,6168
"Slc39a10","Slc39a10",1015,1012,1160,1663,1042,1099
"Slc40a1","Slc40a1",4477,5399,5393,3746,2074,2446
"Wdr75","Wdr75",1247,1409,1280,2840,1758,2124
"Ikzf2","Ikzf2",0,4,7,0,0,1
"Lancl1","Lancl1",2399,3011,2568,2992,2205,2498
"Acadl","Acadl",3644,4145,3597,4076,2438,3027
"Kansl1l","Kansl1l",133,144,155,97,45,52
"Rpe","Rpe",909,1064,1102,2270,1264,1711
"Icos","Icos",0,2,0,1,0,2
"Cd28","Cd28",4475,5330,5132,4176,2345,2513
"Raph1","Raph1",249,277,315,372,199,178
"Carf","Carf",91,82,185,170,99,171
"Wdr12","Wdr12",3013,3662,3250,6210,3535,4588
"Nop58","Nop58",1461,1937,1696,3811,2361,2576
"Sumo1","Sumo1",1875,2086,1857,4394,2932,3333
"Cdk15","Cdk15",122,146,147,124,74,102
"Als2","Als2",2037,1828,1892,2085,1535,1791
"Stradb","Stradb",894,963,928,828,563,628
"Trak2","Trak2",935,1075,1032,1850,1043,1067
"Casp8","Casp8",2030,2882,2436,3925,2388,2860
"Cflar","Cflar",1717,2332,1960,6155,3501,3622
"Ndufb3","Ndufb3",2730,3506,2783,4426,2954,3499
"Clk1","Clk1",635,691,668,1102,659,764
"Ppil3","Ppil3",368,444,397,933,625,617
"Nif3l1","Nif3l1",955,1128,941,2887,2249,2204
"Orc2","Orc2",662,561,711,1965,1113,1292
"Sgo2a","Sgo2a",48,88,61,216,102,158
"Col5a2","Col5a2",0,0,1,0,0,0
"Col3a1","Col3a1",0,0,0,0,0,0
"Kdelc1","Kdelc1",352,430,434,757,615,602
"Ercc5","Ercc5",525,685,551,864,445,467
"Tex30","Tex30",201,307,228,618,395,467
"Khdrbs2","Khdrbs2",2,0,0,0,0,2
"Slc9a4","Slc9a4",290,335,363,571,336,415
"Il18rap","Il18rap",25,40,49,57,69,19
"Il1rl1","Il1rl1",100,84,127,169,112,135
"Il18r1","Il18r1",0,0,0,0,0,0
"Il1r1","Il1r1",12,7,15,106,54,63
"Map4k4","Map4k4",1012,1292,975,1872,854,757
"Npas2","Npas2",1268,1554,1491,468,374,330
"Pdcl3","Pdcl3",1981,2488,2197,2012,1080,1268
"Chst10","Chst10",1226,1433,1367,525,302,391
"Rev1","Rev1",257,271,292,610,418,364
"Eif5b","Eif5b",958,1182,1088,1410,831,946
"Mrpl30","Mrpl30",1530,1955,1569,2276,1521,1953
"Mitd1","Mitd1",160,176,156,416,334,356
"Stk17b","Stk17b",1197,1507,1485,3177,1610,2011
"Asnsd1","Asnsd1",153,146,153,312,190,196
"Osgepl1","Osgepl1",189,263,198,274,140,137
"Ormdl1","Ormdl1",737,788,659,1113,548,696
"Pms1","Pms1",204,176,203,335,172,257
"Inpp1","Inpp1",1,8,1,26,21,6
"Gls","Gls",924,1345,1070,1593,570,707
"Stat1","Stat1",257,308,301,1216,957,990
"Nabp1","Nabp1",905,997,885,1817,908,1106
"Mgat4a","Mgat4a",384,455,460,607,385,433
"Unc50","Unc50",1720,2146,2060,2456,1514,1999
"Coa5","Coa5",3898,3963,3726,11527,6746,7473
"Inpp4a","Inpp4a",286,311,321,475,301,284
"Tmem131","Tmem131",1912,2403,2560,3260,2165,2045
"Sema4c","Sema4c",213,203,272,426,339,376
"Plekhb2","Plekhb2",10706,12969,11988,10712,7119,8443
"Ptpn18","Ptpn18",444,660,523,520,342,489
"Imp4","Imp4",2270,3063,2612,4630,3730,3901
"Dst","Dst",2042,1977,2316,5434,2692,2888
"Prim2","Prim2",536,651,557,1167,725,740
"Zfp142","Zfp142",609,711,889,1017,771,696
"Col19a1","Col19a1",0,0,0,0,1,0
"Rhbdd1","Rhbdd1",3930,4021,4012,5955,3480,4140
"Mff","Mff",2308,2810,2664,5514,3299,3729
"Fam135a","Fam135a",561,638,860,681,383,400
"Sdhaf4","Sdhaf4",354,380,344,764,490,547
"Smap1","Smap1",293,279,299,578,216,275
"Ogfrl1","Ogfrl1",338,376,241,244,120,106
"Agfg1","Agfg1",2502,3189,3208,5357,3037,3296
"Nhej1","Nhej1",104,93,90,220,175,226
"Cyp27a1","Cyp27a1",568,778,655,571,501,451
"Rnf25","Rnf25",1330,1371,1292,1622,1285,1359
"Bcs1l","Bcs1l",787,959,760,1040,742,812
"Cnot9","Cnot9",2260,2851,2551,4998,3327,3828
"Ctdsp1","Ctdsp1",135,129,109,103,105,107
"Slc11a1","Slc11a1",17232,21530,19587,40539,30689,35404
"Pnkd","Pnkd",1467,1589,1444,2904,2004,2301
"Cxcr2","Cxcr2",494,670,567,14,14,11
"Ppm1f","Ppm1f",1728,2197,1931,4248,3022,3755
"Xrcc5","Xrcc5",1669,1851,1778,2452,1524,1619
"Pecr","Pecr",638,693,737,1038,723,974
"Atic","Atic",1150,1476,1243,2140,1491,1722
"Fn1","Fn1",0,6,1,0,1,0
"Bard1","Bard1",15,34,14,42,62,39
"Zfand2b","Zfand2b",1500,1570,1510,2123,1347,1664
"Abcb6","Abcb6",26,32,30,49,27,44
"Ankzf1","Ankzf1",570,739,677,725,510,573
"Glb1l","Glb1l",192,195,217,135,142,186
"Stk16","Stk16",1157,1209,1095,2190,1752,1875
"Dnajb2","Dnajb2",376,456,433,601,314,390
"Speg","Speg",3298,3841,3772,4945,3212,4005
"Des","Des",134,180,158,402,221,350
"Dnpep","Dnpep",2486,3114,2692,3738,2746,3395
"Stk11ip","Stk11ip",4713,5657,5170,4403,3099,3446
"Trip12","Trip12",5758,6085,6805,8680,5082,4934
"Sp100","Sp100",333,482,353,2036,1492,1489
"Itm2c","Itm2c",6541,8207,6908,7905,5828,6981
"Htr2b","Htr2b",39,19,23,1,0,1
"Psmd1","Psmd1",6576,7436,7004,13896,8801,9920
"Ncl","Ncl",8657,12004,10087,27323,17049,19322
"Ptma","Ptma",6163,8732,6738,19515,11136,13922
"Pde6d","Pde6d",789,885,906,1422,1019,1064
"Cops7b","Cops7b",1099,1268,1000,1786,1192,1393
"Farsb","Farsb",6932,8304,7824,13649,8940,10403
"Mrpl44","Mrpl44",1072,1444,1127,2341,1661,1810
"Serpine2","Serpine2",0,1,0,0,0,1
"Eif4e2","Eif4e2",3344,3557,3242,6090,4078,4742
"Efhd1","Efhd1",11,35,47,32,13,25
"Ndufa10","Ndufa10",6142,6929,6501,9565,7172,7911
"Rnpepl1","Rnpepl1",1957,2034,1669,1635,776,674
"Capn10","Capn10",420,504,522,674,361,463
"Gpr35","Gpr35",584,662,749,241,227,174
"Mterf4","Mterf4",503,589,529,998,690,826
"Pask","Pask",247,314,287,588,362,504
"Ppp1r7","Ppp1r7",1380,1520,1379,2471,1522,1725
"Stk25","Stk25",2622,3211,2964,2946,1811,2204
"Thap4","Thap4",772,952,891,966,660,909
"Atg4b","Atg4b",2212,2951,2405,3081,2041,2462
"Dtymk","Dtymk",968,1271,904,2361,1807,2087
"Ing5","Ing5",578,717,778,1164,801,759
"Inpp5d","Inpp5d",8605,10841,10033,10328,7101,8463
"Atg16l1","Atg16l1",1206,1545,1411,2017,1318,1494
"Mlph","Mlph",107,119,147,450,333,355
"Lrrfip1","Lrrfip1",1995,2345,2148,3626,1996,2312
"Scly","Scly",2060,2527,2037,2717,2045,2226
"Klhl30","Klhl30",323,547,422,48,11,12
"Ilkap","Ilkap",821,1015,930,1615,1138,1405
"Asb1","Asb1",909,829,946,1412,907,1121
"Hdac4","Hdac4",565,539,649,669,400,355
"Serpinb8","Serpinb8",603,747,751,1825,1292,1235
"Cln8","Cln8",7660,9760,9585,8478,5842,6444
"Relch","Relch",424,671,627,1156,630,884
"Tnfrsf11a","Tnfrsf11a",965,1239,1121,1388,751,656
"Gin1","Gin1",231,275,246,329,255,294
"Pam","Pam",357,367,318,502,228,301
"Ccdc93","Ccdc93",2300,2778,2743,4156,2628,2831
"Actr3","Actr3",12980,15395,15139,20760,12032,13965
