"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Snx33",2241.81927027948,2112.14066113773,2502.11278710194,729.285334697203,639.911416319368,712.860831146817
"Inppl1",2870.15339587228,2797.73064695031,3089.63145803169,2253.44936591641,2119.91166637083,2505.00628515143
"Ccdc88a",1311.9328205494,1400.37543357607,1441.10402277963,1862.0051098652,1446.09041431488,2124.30624181535
"Tpcn1",561.05551941078,465.113911079901,566.884928327783,473.259632090738,576.467207521893,562.484314029064
"D430042O09Rik",720.842209093079,814.452714423463,944.808213879638,520.515064803226,610.377043258474,434.949799511476
"Gpbp1",994.76224854845,1080.23209218341,1154.40359925753,1030.45055511858,785.395550285994,1066.91187144937
"Gab3",121.341771864002,85.5729057181636,77.1050381442003,121.312454127581,135.639342946328,75.1882585588766
"Slc8b1",1068.04787313958,995.665926532515,1081.64250692428,2130.02099689125,2360.56211353367,2303.23526218331
"Bet1",598.299033547256,716.798927898029,680.91350586498,1009.29140614284,865.2477441173,957.460608990251
"Ilvbl",3025.13447082729,2872.22941192848,2839.85457390259,1632.78099596134,1762.21759263334,1768.35170129611
"Gtf3c1",5441.15727497093,5423.30874239703,5781.79187436229,3823.45821991638,4464.06579487067,4568.40052003301
"Cntrob",330.386012500995,396.65558650537,364.891448119033,289.88034096765,194.708089068116,266.490030335259
"Troap",419.289884955808,615.118181103506,397.471041701089,1146.1205695193,1300.60628034825,1387.65165796003
"Alas1",3580.18297182896,3404.79490751564,3461.03882486713,8553.93862592619,9899.48430374408,10258.9144177991
"Pdxk",7101.49716324865,7187.11734025847,7157.73670997781,5464.70287546802,6388.17550650446,5996.97743265166
"Srxn1",16500.0781661406,15845.0819188021,17091.2547931468,24256.1430808235,24829.6568188604,24398.1140273013
"Cdv3",3360.32609805557,2893.3709533412,3104.83526836998,4007.54281600533,3889.78631868662,3267.35812193194
"Slc10a3",716.036594365792,727.873068638027,671.139627790364,447.163348353991,464.892909291849,517.752058937074
"Arap1",6605.31744265625,6571.99915915497,6395.37422015769,8085.61612859645,9210.34893232322,9404.24282050961
"Fanca",270.315828409905,420.81734811991,324.70994936783,708.126185721462,813.836057677966,726.18533266358
"Ank2",1107.6941946397,1002.71310700342,1142.45774827745,1126.37203047527,991.04229604333,977.447361265395
"Pwp2",2675.52599941715,2819.87892843031,2333.78488692798,2509.47506852287,3264.09515606324,3037.03459571361
"X2410131K14Rik",1083.66612100326,1048.01641003069,1170.69339604856,893.621391742124,1040.26625114482,941.280857148467
"Prr5l",296.746709409984,349.338803343562,278.012531900215,84.6365959029636,71.1012684799298,83.7540095339384
"Abcc10",224.662488500676,222.489554867225,289.958382880303,154.461787522909,200.177417412726,118.017013434186
"Zswim6",48.056147272872,30.2022020181754,18.4617696964987,50.0766525759201,24.0650447162839,14.2762516251031
