"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Jakmip2","Jakmip2",0,0,0,0,0,0
"Dtwd2","Dtwd2",43,84,111,69,76,129
"Hsd17b4","Hsd17b4",2461,2815,2774,3272,2649,3674
"Mbd2","Mbd2",53,85,67,105,40,69
"Smad4","Smad4",235,351,250,483,128,150
"Sec11c","Sec11c",1734,2146,1713,1833,1364,2232
"Pmaip1","Pmaip1",927,1139,1158,657,415,717
"Gnal","Gnal",3,8,6,13,2,14
"Impa2","Impa2",622,964,640,533,397,760
"Afg3l2","Afg3l2",7172,8804,8147,4935,4045,5632
"Srfbp1","Srfbp1",647,794,734,778,557,796
"Prelid3a","Prelid3a",81,80,68,116,122,200
"Spire1","Spire1",412,479,514,1046,234,334
"Snx24","Snx24",1056,1131,851,1092,765,1198
"Psmg2","Psmg2",612,744,710,779,702,870
"Ppic","Ppic",743,937,860,1037,774,1474
"Ptpn2","Ptpn2",569,718,651,780,665,909
"Cep192","Cep192",1230,1342,1337,1561,1222,2166
"Me2","Me2",924,1242,920,1069,688,1203
"Cxxc1","Cxxc1",1242,1692,1758,1512,1116,1512
"Mbd1","Mbd1",1385,1543,1549,1350,1235,1852
"Smad2","Smad2",853,976,1042,1069,711,1069
"Sall3","Sall3",192,264,181,602,281,469
"Atp9b","Atp9b",2409,2595,2876,2496,2143,2552
"Rbfa","Rbfa",584,750,602,566,470,523
"Gm16286","Gm16286",4155,5052,4518,4656,4126,5198
"Csnk1a1","Csnk1a1",4492,5291,5310,8032,5614,8521
"Pcyox1l","Pcyox1l",370,564,421,1387,1412,1578
"Grpel2","Grpel2",1109,1269,1262,1447,1176,1457
"Napg","Napg",566,719,693,967,697,1117
"Txnl1","Txnl1",2153,2691,2320,2431,2030,3080
"Nars","Nars",10753,12978,12803,9462,7847,9768
"Fech","Fech",2148,2629,2438,2987,2352,3330
"Nedd4l","Nedd4l",2238,2624,2590,1482,1081,1563
"Lmnb1","Lmnb1",425,686,428,1122,982,1634
"C330018D20Rik","C330018D20Rik",113,161,118,215,162,244
"Prrc1","Prrc1",1858,2286,2104,2450,2042,2901
"Slc12a2","Slc12a2",116,121,142,163,72,108
"Fbn2","Fbn2",1,4,0,0,0,0
"Isoc1","Isoc1",661,717,701,1066,701,1319
"Dctn4","Dctn4",1363,1819,1604,2058,1516,1877
"Rbm22","Rbm22",958,1136,1169,1186,939,1048
"Rps14","Rps14",16952,20999,17008,16721,16266,15446
"Cd74","Cd74",6244,8261,7097,1396,1251,1306
"Tcof1","Tcof1",2996,3596,3298,2554,2223,2660
"Tmx3","Tmx3",686,953,870,1048,933,1401
"Camk2a","Camk2a",339,378,350,496,395,487
"Pdgfrb","Pdgfrb",0,1,1,0,0,0
"Csf1r","Csf1r",21942,27918,24255,41966,32970,47900
"Hmgxb3","Hmgxb3",2213,2649,2542,2226,2013,2224
"Gnaq","Gnaq",605,664,582,949,587,817
"Psat1","Psat1",7377,9118,8296,3651,3117,4241
"Tle4","Tle4",353,459,376,626,244,325
"Cndp2","Cndp2",14022,16673,15472,12520,11131,12107
"Timm21","Timm21",323,350,372,442,366,497
"Cyb5a","Cyb5a",1900,1960,1920,936,740,1173
"Scgb1a1","Scgb1a1",30,54,50,61,24,50
"Asrgl1","Asrgl1",971,1070,1086,1336,1028,1208
"Anxa1","Anxa1",8768,9148,8531,5836,4419,6448
"Incenp","Incenp",2593,3491,2793,2857,2278,3940
"Fth1","Fth1",715341,788111,771596,428303,347331,409363
"Rab3il1","Rab3il1",790,1091,816,1869,1565,2800
"Fads2","Fads2",0,0,0,0,0,0
"Tmem138","Tmem138",112,141,179,169,161,199
"Tmem216","Tmem216",270,287,298,267,287,302
"Sdhaf2","Sdhaf2",1089,1012,960,1332,888,1503
"Cd5","Cd5",518,635,680,1241,1137,1280
"Cd6","Cd6",0,5,0,3,0,5
"Ms4a7","Ms4a7",525,502,510,866,694,856
"Ms4a1","Ms4a1",4,0,0,0,0,0
"Ms4a6b","Ms4a6b",8,7,4,1,5,14
"Ms4a6d","Ms4a6d",347,417,352,528,460,755
"Mrpl16","Mrpl16",1379,1570,1314,1233,1043,1247
"Osbp","Osbp",583,786,500,861,379,519
"Fam111a","Fam111a",1577,2043,1699,2015,1413,2881
"Zfp91","Zfp91",698,986,810,1060,401,658
"Lpxn","Lpxn",7285,8301,7343,5683,5128,5527
"Rfk","Rfk",1790,2148,2056,2311,1690,2732
"Pcsk5","Pcsk5",5,1,0,0,0,0
"Ostf1","Ostf1",3650,4601,3931,4819,3643,5440
"Carnmt1","Carnmt1",538,815,714,659,422,643
"Ccdc86","Ccdc86",3057,3645,3206,3485,2895,3977
"Prpf19","Prpf19",4936,6290,5256,5941,5292,7026
"Tmem132a","Tmem132a",510,537,567,507,468,557
"Slc15a3","Slc15a3",3197,2998,3203,3167,2431,2775
"Ddb1","Ddb1",20597,26426,23689,23896,20942,26176
"Fen1","Fen1",65,110,78,106,65,159
"Tmc1","Tmc1",0,0,0,1,0,0
"Zfand5","Zfand5",5555,6507,6208,6882,3967,4264
"Cemip2","Cemip2",196,354,210,276,189,358
"Rtn3","Rtn3",8970,10537,10709,10719,8118,11819
"Atl3","Atl3",598,678,756,782,618,1019
"Naa40","Naa40",1975,2443,2233,2964,2387,3571
"Otub1","Otub1",4401,5036,4759,4885,4249,5045
"Cdc42bpg","Cdc42bpg",37,37,39,22,9,12
"Lipn","Lipn",32,88,59,13,14,34
"Ehd1","Ehd1",1292,1670,1590,791,576,660
"Atg2a","Atg2a",5618,6923,6206,5181,3916,5037
"Stambpl1","Stambpl1",1015,1263,1342,912,807,1002
"Ppp2r5b","Ppp2r5b",1987,1918,1963,1150,1056,1321
"Fas","Fas",1,4,5,1,1,5
"Cdc37l1","Cdc37l1",427,516,599,736,580,983
"Lipa","Lipa",20619,21201,22087,15792,11990,18192
"Ak3","Ak3",2296,2738,2487,3189,2282,3231
"Rcl1","Rcl1",1061,1210,1068,1284,1106,1399
"Snx15","Snx15",973,1029,973,903,709,946
"Jak2","Jak2",509,658,599,1811,552,935
"Sac3d1","Sac3d1",423,512,388,382,358,582
"Cdca5","Cdca5",578,806,716,844,682,1067
"Zfpl1","Zfpl1",1044,1224,1105,1041,813,1067
"Kif20b","Kif20b",275,374,297,433,414,827
"Vps51","Vps51",2061,2772,2286,2094,1796,2335
"Tm7sf2","Tm7sf2",154,263,161,308,241,204
"Rpp30","Rpp30",490,596,495,506,413,665
"Ankrd1","Ankrd1",0,2,0,0,0,2
"Pcgf5","Pcgf5",135,244,235,202,105,256
"Syvn1","Syvn1",2636,3039,2943,2712,2479,3080
"Tnks2","Tnks2",4804,5277,4970,7885,2206,2629
"Tjp2","Tjp2",3874,3806,4369,4431,3403,4910
"Frmd8","Frmd8",3141,3900,3248,3159,2830,3943
"Uhrf2","Uhrf2",2517,2752,2514,2821,2124,3109
"Slc25a45","Slc25a45",2081,2013,1884,1203,1010,1820
"Rad9a","Rad9a",1050,1256,1129,1014,832,1045
"Dpf2","Dpf2",3128,3932,3832,3055,2237,3022
"Gldc","Gldc",23,30,12,2,1,4
"Mrpl21","Mrpl21",986,1078,1043,1042,824,1010
"Rps6kb2","Rps6kb2",1078,1560,1244,1129,1086,1201
"Ighmbp2","Ighmbp2",1160,1754,1529,1283,1152,1477
"Pola2","Pola2",1419,1639,1591,1507,1393,1857
"Coro1b","Coro1b",15938,19601,17455,15946,14221,16909
"Eif1ad","Eif1ad",1537,1885,1622,1441,1229,1716
"Cabp4","Cabp4",0,0,0,0,0,0
"Chka","Chka",789,950,819,818,791,1143
"Banf1","Banf1",3138,4338,3510,3226,2695,3755
"Tmem134","Tmem134",2521,3145,2684,2300,2299,2749
"Aip","Aip",2754,3301,3031,2764,2417,2945
"Pitpnm1","Pitpnm1",4360,5213,4708,5960,4799,6091
"Sf3b2","Sf3b2",9052,10794,10055,11644,9674,12000
"Pold4","Pold4",130,181,124,215,228,178
"Pacs1","Pacs1",3837,4963,4397,5251,4404,5749
"Cdk2ap2","Cdk2ap2",1728,2357,1937,1610,1400,2051
"Grk2","Grk2",1883,2345,1978,2701,1312,1435
"Klc2","Klc2",336,429,412,272,215,282
"Acy3","Acy3",436,448,388,511,465,526
"Pip5k1b","Pip5k1b",1,4,1,5,0,1
"Rab1b","Rab1b",10894,13402,12116,11622,9909,12684
"Yif1a","Yif1a",3956,4760,4080,4520,3827,4528
"Cbwd1","Cbwd1",335,352,345,397,214,407
"Rin1","Rin1",525,582,602,570,498,673
"Aldh3b1","Aldh3b1",7759,10679,9004,5154,4309,5398
"Asah2","Asah2",9,8,26,29,27,24
"Rce1","Rce1",1695,1995,1880,1479,1564,1664
"Slc29a2","Slc29a2",136,222,153,150,115,174
"Pcx","Pcx",4762,6189,5668,4551,3991,4271
"Minpp1","Minpp1",2061,2391,2129,2334,1813,2642
"Apba1","Apba1",681,809,623,835,523,800
"Cpt1a","Cpt1a",1575,1901,1553,3965,3120,4746
"Peli3","Peli3",147,172,197,261,210,287
"Mrpl11","Mrpl11",1151,1452,1261,1302,1184,1480
"Tesmin","Tesmin",35,45,47,133,137,125
"Mus81","Mus81",726,952,809,865,741,767
"Ppp6r3","Ppp6r3",2681,3061,2963,3890,2657,4325
"Efemp2","Efemp2",0,0,0,0,0,0
"Fibp","Fibp",1653,2125,1961,1992,1802,2083
"Fosl1","Fosl1",14,16,35,8,8,3
"Lrp5","Lrp5",1257,1328,1146,1876,1389,1564
"Drap1","Drap1",963,1362,1262,1202,1096,1021
"Smarca2","Smarca2",1449,1522,1623,2151,1690,2640
"Vldlr","Vldlr",0,0,0,0,0,0
"Rnaseh2c","Rnaseh2c",1570,2121,1548,1813,1560,2074
"Kat5","Kat5",826,890,783,790,788,822
"Rela","Rela",4400,5270,4803,3927,3249,3498
"Ehbp1l1","Ehbp1l1",7183,8630,8153,7412,6651,8727
"Ltbp3","Ltbp3",17,18,26,2,6,8
"Scyl1","Scyl1",4181,5221,4860,4805,4150,5565
"Capn1","Capn1",1463,1698,1739,1574,1237,1463
"Smc5","Smc5",982,1356,1119,1500,965,1875
"Arl2","Arl2",1585,1812,1605,1748,1605,1606
"Men1","Men1",2657,3222,2737,2744,2523,2910
"Map4k2","Map4k2",1005,1160,1245,1157,887,1277
"Sf1","Sf1",5207,6703,6312,5618,4515,6335
"Rps6ka4","Rps6ka4",1373,1436,1307,1662,1353,1830
"Prdx5","Prdx5",6605,7871,6794,6200,5334,6487
"Esrra","Esrra",839,1068,879,1028,798,929
"Gpr137","Gpr137",509,601,682,607,485,511
"Bad","Bad",707,906,836,626,527,912
"Plcb3","Plcb3",1937,2543,2261,3308,2852,3725
"Vegfb","Vegfb",2003,2424,2157,2518,1339,1558
"Dnajc4","Dnajc4",474,589,454,605,418,550
"Fermt3","Fermt3",12866,16484,14164,12106,10268,14068
"Stip1","Stip1",5371,6952,5998,6481,5284,7420
"Rcor2","Rcor2",129,108,103,128,108,58
"Mark2","Mark2",2623,3227,3122,2945,2455,3084
"Spindoc","Spindoc",495,805,656,614,576,679
"Smc3","Smc3",613,839,692,1067,686,1194
"Pdcd4","Pdcd4",103,213,178,187,209,347
"Shoc2","Shoc2",912,1096,1097,1424,862,1438
"Gpam","Gpam",1200,1565,1576,1946,1228,1909
"Acsl5","Acsl5",2885,3168,2832,3809,2897,4469
"Zdhhc6","Zdhhc6",2430,2957,2809,3578,2749,4192
"Vti1a","Vti1a",1578,1777,1814,2155,1580,2475
"Tcf7l2","Tcf7l2",246,324,333,346,267,373
"Hhex","Hhex",1008,1337,1125,1878,1336,1932
"Cep55","Cep55",273,409,298,483,315,727
"Eif3a","Eif3a",6401,7338,6758,8800,5935,10054
"Fam45a","Fam45a",639,710,648,787,679,1137
"Prdx3","Prdx3",3681,4765,3999,3853,3396,4418
"Plce1","Plce1",0,0,0,0,0,0
"Noc3l","Noc3l",508,698,634,796,597,834
"Hells","Hells",396,496,371,362,357,780
"Sorbs1","Sorbs1",426,717,543,513,408,547
"Aldh18a1","Aldh18a1",8522,10092,9917,5814,5583,5118
"Tctn3","Tctn3",976,748,942,850,749,996
"Ccnj","Ccnj",173,73,140,134,105,148
"Tm9sf3","Tm9sf3",5417,7539,6677,9806,6801,11862
"Pik3ap1","Pik3ap1",12540,14990,15186,14105,10660,15738
"Lcor","Lcor",83,101,136,119,142,154
"Slit1","Slit1",24,50,29,87,27,13
"Smndc1","Smndc1",465,575,568,577,528,672
"Mxi1","Mxi1",2622,3168,3319,3853,1697,2513
"Add3","Add3",1558,1906,1690,2074,1509,2305
"Xpnpep1","Xpnpep1",10516,12668,11211,10552,8984,10053
"Trim8","Trim8",3301,4054,3891,3322,2192,2635
"Arl3","Arl3",334,479,362,329,314,398
"Sfxn2","Sfxn2",127,243,137,123,174,246
"Maoa","Maoa",2507,3095,2883,1487,1188,1556
"Fundc1","Fundc1",574,850,687,1123,900,1593
"Nt5c2","Nt5c2",1522,1829,1487,1569,1170,1806
"Msr1","Msr1",222,229,203,87,50,132
"Pdcd11","Pdcd11",2521,2855,2782,2913,2293,2968
"Taf5","Taf5",377,611,487,643,480,639
"Pcgf6","Pcgf6",696,794,691,879,643,1091
"X5430427O19Rik","5430427O19Rik",397,462,342,485,399,658
"Gk","Gk",851,1168,967,1194,897,1612
"Slk","Slk",1114,1244,1380,2203,784,1400
"Col17a1","Col17a1",0,0,0,0,0,0
"Sfr1","Sfr1",1855,2237,2035,2416,1890,2982
"Gsto1","Gsto1",9012,10773,10041,18024,16105,19000
"Gsto2","Gsto2",63,51,64,64,64,81
"Casp7","Casp7",565,609,493,895,599,925
"Dclre1a","Dclre1a",414,497,499,605,507,557
"Nhlrc2","Nhlrc2",819,1072,1072,1466,835,1532
"Ablim1","Ablim1",22,26,37,168,93,165
"Trub1","Trub1",448,548,520,438,384,498
"Gfra1","Gfra1",4,5,2,1,1,0
"Hspa12a","Hspa12a",8,3,21,5,32,28
"Slc18a2","Slc18a2",19,21,37,51,29,39
"X3110040N11Rik","3110040N11Rik",298,345,277,376,351,392
"Btbd1","Btbd1",1177,1770,1541,2081,1103,1305
"P4hb","P4hb",22599,28443,25576,28145,22400,29831
"Arhgdia","Arhgdia",17491,21239,19693,20652,17096,21098
"Ints4","Ints4",3173,3825,3398,3431,2669,3433
"Alyref","Alyref",1933,2376,1845,1867,866,1007
"Anapc11","Anapc11",1145,1399,1087,1187,1072,1353
"Pcyt2","Pcyt2",1296,1742,1590,2262,1817,2390
"Sirt7","Sirt7",2273,3086,2605,1992,1968,2180
"Tollip","Tollip",7368,8097,7898,6395,5198,6648
"Pycr1","Pycr1",420,520,530,245,279,309
"Myadml2","Myadml2",48,83,28,90,67,109
"Aspscr1","Aspscr1",1471,1937,1839,1521,1306,1462
"Cenpx","Cenpx",869,1248,934,863,785,973
"Lrrc45","Lrrc45",483,598,541,657,480,633
"Mob2","Mob2",869,1222,978,840,833,995
"Cbr2","Cbr2",731,969,751,727,705,757
"Maged1","Maged1",11810,15302,13225,27208,22625,27725
"Fasn","Fasn",10914,12147,11293,12143,10284,16003
"Arhgap19","Arhgap19",4923,5717,5702,5605,4372,6990
"Dus1l","Dus1l",2310,2912,2739,2263,2173,2562
"Gps1","Gps1",3389,4130,3711,3558,3130,4147
"Zdhhc16","Zdhhc16",1152,1378,1272,1170,990,1488
"Rfng","Rfng",760,798,834,840,802,853
"Mms19","Mms19",2449,3313,2937,2491,2015,2552
"Csnk1d","Csnk1d",4929,5561,5579,5542,4638,6015
"Ogfod3","Ogfod3",262,403,265,323,277,370
"Ubtd1","Ubtd1",2052,2314,2242,1281,1111,1227
"Wdr45b","Wdr45b",1798,2008,1819,1709,1643,2507
"Hoga1","Hoga1",57,59,41,73,92,98
"Pi4k2a","Pi4k2a",3507,4187,3453,2592,1020,1212
"R3hcc1l","R3hcc1l",473,597,595,740,484,866
"Hps1","Hps1",2538,3330,2861,3089,2643,3217
"Cnnm1","Cnnm1",59,41,40,39,21,16
"Got1","Got1",7080,8699,7899,6834,5705,7155
"Entpd7","Entpd7",515,675,605,711,498,695
"Cutc","Cutc",264,427,393,329,237,387
"Abcc2","Abcc2",145,165,161,36,15,68
"Dnmbp","Dnmbp",598,687,674,516,403,506
"Erlin1","Erlin1",1379,1408,1444,1395,1071,1572
"Chuk","Chuk",1049,1270,1345,1387,890,1470
"Cwf19l1","Cwf19l1",631,691,641,610,587,607
"Scd3","Scd3",3,5,7,4,11,11
"Scd2","Scd2",43425,58223,49897,141673,101942,163380
"Ndufb8","Ndufb8",3179,3835,2999,3193,2999,3450
"Sema4g","Sema4g",4,2,2,0,2,0
"Mrpl43","Mrpl43",639,897,786,723,740,844
"Twnk","Twnk",1231,1607,1495,1714,1388,1820
"Sfxn3","Sfxn3",3196,4026,3847,5676,5086,5986
"Kazald1","Kazald1",10,34,17,65,70,69
"Tlx1","Tlx1",23,5,1,46,23,58
"Lbx1","Lbx1",25,20,34,24,14,16
"Btrc","Btrc",1603,1858,1797,1692,1494,1901
"Poll","Poll",574,793,593,736,686,642
"Mgea5","Mgea5",4526,5260,5717,4992,3343,5089
"Ldb1","Ldb1",1628,1952,1838,2305,1814,1751
"Gbf1","Gbf1",3036,3663,3231,3715,2764,4104
"Nfkb2","Nfkb2",1546,1556,1562,1362,1188,1218
"Fbxl15","Fbxl15",141,151,121,124,130,179
"Mfsd13a","Mfsd13a",1532,1893,1704,1889,1554,2086
"Actr1a","Actr1a",5217,6597,5547,5769,4789,6802
"Sufu","Sufu",1265,1529,1157,1555,1268,1565
"Hexa","Hexa",31206,37372,35206,44421,38137,46591
"Arih1","Arih1",1634,1835,1732,2221,813,1130
"Bbs4","Bbs4",43,72,54,79,76,72
"Adpgk","Adpgk",539,682,768,431,542,607
"Parp6","Parp6",471,566,586,441,385,391
"Limd1","Limd1",3754,4276,3991,3825,2627,3865
"Sacm1l","Sacm1l",1012,1196,1092,1887,1483,2243
"Fyco1","Fyco1",856,925,923,999,760,1321
"Lztfl1","Lztfl1",169,175,200,202,134,232
"Tbl1x","Tbl1x",2720,3047,2744,4524,3129,5112
"Ribc1","Ribc1",133,136,124,95,128,134
"Hsd17b10","Hsd17b10",2730,3009,2862,2251,2046,2351
"Huwe1","Huwe1",3639,3681,3863,4129,3197,4235
"Fam120c","Fam120c",47,34,41,82,80,152
"Tsr2","Tsr2",328,411,263,387,348,457
"Gnl3l","Gnl3l",2111,2262,2263,2530,1924,2714
"Maged2","Maged2",3580,4293,3913,5997,4860,7042
"Apex2","Apex2",361,417,387,339,355,459
"Pfkfb1","Pfkfb1",34,134,93,102,68,113
"Abhd6","Abhd6",241,375,273,446,422,470
"Flnb","Flnb",6345,6074,8132,5973,4762,6565
"Polr3a","Polr3a",1615,1857,1912,1783,1440,1476
"Sat1","Sat1",26578,28256,27196,37237,31763,42026
"Acot9","Acot9",1963,2110,1867,1735,1323,2263
"Prdx4","Prdx4",3174,3614,3042,5092,3972,5537
"Rps24","Rps24",2947,2941,2700,3280,2571,3782
"Ptprj","Ptprj",1849,2129,1952,2264,1131,1682
"Banp","Banp",833,999,840,670,571,843
"Jph3","Jph3",20,35,33,81,39,48
"Itgb8","Itgb8",0,0,0,0,0,0
"Sp4","Sp4",52,91,90,170,98,161
"Atp10a","Atp10a",222,250,219,591,366,823
"Ube3a","Ube3a",663,1001,800,1057,869,1453
"Kdm5c","Kdm5c",6392,8084,7625,6905,5755,7495
"Sbds","Sbds",831,1052,805,811,655,919
"Rabgef1","Rabgef1",906,1196,1104,1217,854,1262
"Itga7","Itga7",432,513,505,235,250,281
"Cd63","Cd63",48826,54582,52453,66796,58995,63187
"Ormdl2","Ormdl2",386,412,379,520,361,669
"Dnajc14","Dnajc14",1420,1853,1846,1943,1497,2182
"Mmp19","Mmp19",1040,1117,1115,963,693,1016
"Dgka","Dgka",191,232,251,264,182,325
"Cdk2","Cdk2",1327,1687,1597,1749,1378,1950
"Rps26","Rps26",3868,4489,4008,4213,3609,4289
"Pa2g4","Pa2g4",1845,2446,2127,1794,1554,2301
"Esyt1","Esyt1",10579,12909,12169,12657,10287,14083
"Smarcc2","Smarcc2",4251,5277,4519,4677,3719,4646
"Chmp6","Chmp6",2038,2287,1939,2479,1968,2803
"Baiap2","Baiap2",944,1114,1037,904,667,747
"Rnf41","Rnf41",2175,2243,2299,2326,1783,2558
"Nabp2","Nabp2",447,492,532,458,375,487
"Aatk","Aatk",1791,2217,2315,2630,2145,2494
"Tepsin","Tepsin",576,604,580,528,451,499
"Cnpy2","Cnpy2",2592,2835,2676,2941,2315,3097
"Il23a","Il23a",32,19,27,23,19,38
"Faap100","Faap100",621,824,604,625,587,704
"Atp5b","Atp5b",54279,67893,58892,56399,49403,61849
"Prim1","Prim1",210,278,163,220,185,381
"Nab2","Nab2",656,787,883,1147,941,947
"Shmt2","Shmt2",6875,8862,7580,4040,3566,4572
"R3hdm2","R3hdm2",1437,1718,1639,1615,871,1253
"Ddit3","Ddit3",1797,1821,2133,380,462,211
"Mbd6","Mbd6",106,183,143,112,117,161
"Dctn2","Dctn2",3502,4392,4229,3854,3079,4023
"Ttc4","Ttc4",1613,2157,2031,2058,1668,2183
"Pip4k2c","Pip4k2c",2977,3706,3416,3766,3043,3505
"Katnal2","Katnal2",31,57,33,27,23,66
"Hdhd2","Hdhd2",110,99,158,138,141,128
"Pias2","Pias2",952,1166,1177,1686,1236,1713
"Atp5a1","Atp5a1",25602,32284,27688,31459,25680,33438
"Pstpip2","Pstpip2",31,14,10,2,1,11
"Atp23","Atp23",130,153,151,129,86,122
"Usp33","Usp33",1192,1605,1255,2291,1370,2611
"Clns1a","Clns1a",2321,2718,2230,2549,2119,3083
"Paip1","Paip1",83,74,65,87,46,109
"Paox","Paox",743,1019,856,1136,932,1211
"Echs1","Echs1",2521,2922,2756,4118,3499,4653
"Zfp511","Zfp511",318,417,316,276,261,361
"Adam8","Adam8",2183,2525,2559,852,579,1033
"Tubgcp2","Tubgcp2",1311,1596,1574,1596,1468,1644
"Inpp5a","Inpp5a",1086,1354,1290,1431,665,666
"Bet1l","Bet1l",182,190,165,203,134,193
"Ric8a","Ric8a",1757,1898,1731,1693,1441,1608
"Sirt3","Sirt3",297,354,367,325,299,213
"Psmd13","Psmd13",3569,4742,4140,3712,3000,4024
"Ifitm3","Ifitm3",515,647,537,40,62,45
"Ptdss2","Ptdss2",1733,1917,1562,1713,1479,1723
"Irf7","Irf7",1997,2651,2067,287,265,567
"Hras","Hras",756,888,778,822,469,658
"Taldo1","Taldo1",15342,18643,16304,11370,9906,14316
"Tmem80","Tmem80",207,279,272,264,200,280
"Pidd1","Pidd1",134,191,127,152,193,303
"Rplp2","Rplp2",4954,5522,5016,5035,4823,5292
"Pnpla2","Pnpla2",5188,6296,5997,4141,3644,4004
"Cd151","Cd151",348,289,292,259,286,295
"Tspan4","Tspan4",2260,3153,2599,2856,2459,2975
"Chid1","Chid1",2093,2437,2220,2682,2070,2383
"Tmem192","Tmem192",1788,2034,1834,1724,1575,1842
"Apool","Apool",624,805,740,774,636,911
"Chm","Chm",504,732,726,791,571,1103
"Crcp","Crcp",350,416,413,337,280,308
"Asl","Asl",2244,2721,2695,1920,1720,2008
"Gusb","Gusb",30091,31930,32069,35553,29295,40730
"Phkg1","Phkg1",13,27,4,6,5,5
"Sumf2","Sumf2",788,902,723,959,832,938
"Tm9sf2","Tm9sf2",4057,5031,4464,6161,4060,6462
"Clybl","Clybl",935,1005,1001,1132,933,1143
"Farp1","Farp1",658,902,725,736,403,585
"Dock9","Dock9",771,780,735,1021,712,931
"Tnrc6c","Tnrc6c",262,264,309,421,155,313
"Tmc6","Tmc6",1353,1648,1632,1477,1264,1344
"Tk1","Tk1",527,754,582,890,638,1225
"Cant1","Cant1",1331,1809,1753,2056,1774,1915
"Rbfox3","Rbfox3",0,0,0,0,0,0
"Cbx2","Cbx2",574,643,676,325,210,327
"Cbx8","Cbx8",156,210,110,161,160,161
"Gaa","Gaa",12195,13698,13708,16435,13134,15904
"Eif4a3","Eif4a3",4249,5469,4667,4341,4226,4985
"Rptor","Rptor",1683,2310,1861,1917,1556,2150
"Pde8a","Pde8a",611,711,660,914,293,418
"Cpeb1","Cpeb1",2358,2545,2518,2912,2296,3070
"Tma16","Tma16",232,259,261,238,136,158
"Zfp202","Zfp202",249,256,291,458,297,476
"Copg2","Copg2",2259,2610,2319,3008,2549,3291
"Mkln1","Mkln1",2530,2988,2836,3499,2641,3818
"Bach1","Bach1",377,404,316,391,295,526
"Cct8","Cct8",10295,11849,11001,11443,8907,12962
"Usp16","Usp16",357,356,418,398,279,536
"Phf6","Phf6",552,579,596,757,627,1112
"Hprt","Hprt",2739,3495,2743,3966,3007,5331
"Ccdc51","Ccdc51",388,457,397,380,396,435
"Atrip","Atrip",502,780,663,598,471,604
"Shisa5","Shisa5",3769,4804,4333,5670,4784,6095
"Pfkfb4","Pfkfb4",1039,1522,1401,1289,925,1420
"Col7a1","Col7a1",693,845,666,493,416,464
"Uqcrc1","Uqcrc1",10167,13897,11934,10912,10115,11602
"X44993","44993",1914,2108,2015,2703,1782,3086
"Myo3a","Myo3a",0,0,0,0,0,0
"Wdr73","Wdr73",744,884,783,879,686,819
"Sec11a","Sec11a",1271,1765,1517,1447,1324,1665
"Pigq","Pigq",2323,2958,2573,3307,2468,2972
"Rab40c","Rab40c",2372,2537,2666,2903,2530,2841
"Mettl26","Mettl26",536,685,595,565,519,541
"Mcrip2","Mcrip2",395,532,465,290,286,386
"Rhot2","Rhot2",51,95,101,142,85,124
"Jmjd8","Jmjd8",230,347,272,367,342,439
"Wdr24","Wdr24",928,1175,1213,1209,1132,1307
"Fbxl16","Fbxl16",140,164,138,122,128,138
"Prps2","Prps2",763,1154,841,1542,1066,2050
"Sdc3","Sdc3",12588,16472,14474,8107,3536,4012
"Hadha","Hadha",3300,4041,3763,3698,3167,3931
"Il6","Il6",0,0,0,0,0,0
"Tyms","Tyms",355,444,321,450,352,688
"Hspa4l","Hspa4l",70,82,146,92,68,115
"Plk4","Plk4",130,200,169,154,194,316
"Mfsd8","Mfsd8",80,131,83,104,118,83
"Larp1b","Larp1b",19,14,6,37,4,18
"Jade1","Jade1",452,497,448,448,270,331
"D3Ertd751e","D3Ertd751e",28,53,21,47,39,79
"Gdap1","Gdap1",0,0,0,0,0,0
"Ly96","Ly96",272,260,269,213,236,255
"Atp5c1","Atp5c1",15180,17693,15523,16384,14242,17200
"Taf3","Taf3",621,767,748,617,582,706
"Exosc7","Exosc7",942,1094,894,991,755,1110
"Zdhhc3","Zdhhc3",2330,2763,2402,3098,2290,3449
"Slco3a1","Slco3a1",0,0,0,0,0,0
"Pgm1","Pgm1",9184,12172,11459,9384,7063,9066
"Slc25a10","Slc25a10",1922,2542,2127,2594,2119,2869
"Rpl14","Rpl14",8686,9996,8224,10100,8315,11101
"Rassf3","Rassf3",1886,2104,2162,2574,1366,2237
"Ccr1","Ccr1",385,544,431,46,21,30
"Itgb1","Itgb1",11006,12333,11791,13142,9090,13423
"Nrp1","Nrp1",5437,6075,6280,3166,2191,4271
"Pard3","Pard3",0,0,1,0,0,1
"Sec61a2","Sec61a2",892,939,917,790,671,879
"Nudt5","Nudt5",1580,1861,1682,2141,1600,2597
"Zfp282","Zfp282",532,594,634,415,414,523
"Pdia4","Pdia4",4189,5371,4729,7068,5790,8900
"Iscu","Iscu",1674,1934,1533,2454,1922,2599
"Fam20c","Fam20c",5605,6250,6488,14392,11524,11459
"Prkar1b","Prkar1b",2767,2906,3173,2544,2156,2379
"Pdgfa","Pdgfa",1566,1617,1492,1751,1302,1686
"Dnaaf5","Dnaaf5",1193,1483,1131,1318,392,386
"Get4","Get4",2749,3333,2860,2666,2314,2738
"Xiap","Xiap",152,277,169,273,251,431
