"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Sptlc1","Sptlc1",838,125,262,7,86,245
"Ercc6l2","Ercc6l2",417,0,0,6,128,223
"Sfxn1","Sfxn1",3734,4152,4850,1946,1221,1838
"Habp4","Habp4",204,273,101,244,113,223
"Ctsl","Ctsl",24099,4686,7811,2226,1730,5079
"Drd1","Drd1",0,0,0,13,87,100
"Zfp346","Zfp346",471,483,0,340,135,163
"Aaed1","Aaed1",987,81,211,117,171,116
"Cdk20","Cdk20",0,114,0,1,77,123
"Lman2","Lman2",8515,3233,3954,2370,1249,3263
"Mxd3","Mxd3",0,27,0,6,11,52
"Prelid1","Prelid1",6121,3101,3518,3220,1397,3457
"Nsd1","Nsd1",35,32,366,270,412,361
"Pdlim7","Pdlim7",493,138,207,103,61,270
"Ddx41","Ddx41",2729,371,156,136,284,431
"Fam193b","Fam193b",0,0,1,85,163,137
"Pcbd2","Pcbd2",297,66,97,47,21,90
"Txndc15","Txndc15",1206,142,254,145,158,228
"Ddx46","Ddx46",917,211,682,291,298,567
"Caml","Caml",614,85,0,403,133,175
"B4galt7","B4galt7",564,201,362,158,108,243
"Cxcl14","Cxcl14",0,0,0,29,2,22
"Zfp729a","Zfp729a",0,97,0,47,155,93
"Zfp369","Zfp369",0,2089,1703,461,185,430
"Ptdss1","Ptdss1",798,796,1004,673,207,552
"Mterf3","Mterf3",1081,131,0,43,67,122
"Uqcrb","Uqcrb",3006,565,1081,1131,451,1047
"Fastkd3","Fastkd3",459,746,553,391,259,492
"Cetn3","Cetn3",882,221,259,183,178,285
"Smad5","Smad5",227,276,617,407,203,301
"Hnrnpk","Hnrnpk",17757,1698,4117,1079,953,2678
"Ccnh","Ccnh",2024,82,133,126,392,278
"Rasa1","Rasa1",228,0,4,34,139,142
"X2210016F16Rik","2210016F16Rik",511,120,0,104,150,66
"Gkap1","Gkap1",352,78,170,121,164,261
"Slc28a3","Slc28a3",0,0,0,123,181,146
"Naa35","Naa35",1752,123,249,202,276,394
"Golm1","Golm1",595,63,424,1,125,30
"Agtpbp1","Agtpbp1",1026,63,2,146,322,163
"Dapk1","Dapk1",0,0,0,23,152,126
"Trip13","Trip13",492,46,0,119,220,205
"Cep72","Cep72",0,30,0,3,62,69
"Ahrr","Ahrr",0,0,0,47,84,172
"Pdcd6","Pdcd6",2146,719,1392,469,350,689
"Sdha","Sdha",11256,1474,2940,1067,744,1045
"Ccdc127","Ccdc127",1205,327,315,216,112,501
"Erap1","Erap1",2650,3,38,35,105,298
"Cast","Cast",2033,182,342,191,319,255
"Rhobtb3","Rhobtb3",0,0,0,69,115,82
"Glrx","Glrx",557,0,104,256,139,44
"Arsk","Arsk",0,0,10,117,22,43
"Srd5a1","Srd5a1",0,0,0,6,37,65
"Nsun2","Nsun2",3956,4314,5302,1641,792,2232
"Mctp1","Mctp1",389,325,629,35,94,107
"Slf1","Slf1",464,0,11,104,88,60
"Ndufs6","Ndufs6",1831,492,864,820,295,734
"Mrpl36","Mrpl36",1007,282,188,313,138,306
"Lpcat1","Lpcat1",1020,116,273,132,213,212
"Slc6a3","Slc6a3",0,0,0,22,104,120
"Clptm1l","Clptm1l",1278,971,1336,825,331,838
"Tert","Tert",0,0,0,8,95,78
"Vcan","Vcan",0,0,0,65,293,529
"Xrcc4","Xrcc4",238,0,0,37,172,111
"Atg10","Atg10",106,163,0,91,140,102
"Zcchc9","Zcchc9",488,6,115,67,104,96
"Cd180","Cd180",94,0,0,116,255,131
"Slc30a5","Slc30a5",4785,196,642,294,572,570
"Rad17","Rad17",185,47,33,264,128,214
"Marveld2","Marveld2",0,13,0,0,44,13
"Ocln","Ocln",0,0,36,18,149,81
"Gtf2h2","Gtf2h2",626,276,183,218,179,191
"Naip1","Naip1",0,0,0,1,49,46
"Serf1","Serf1",221,58,59,56,61,121
"Smn1","Smn1",568,140,0,96,130,185
"Mccc2","Mccc2",1637,0,158,54,285,188
"Ptcd2","Ptcd2",1339,813,402,380,204,294
"Btf3","Btf3",4188,1726,1621,1372,553,1361
"Ankra2","Ankra2",279,17,0,67,46,188
"Arhgef28","Arhgef28",0,0,0,47,127,105
"Hexb","Hexb",4322,1310,974,344,236,1518
"Gfm2","Gfm2",2174,263,642,250,400,377
"Polk","Polk",590,4,44,213,157,198
"Col4a3bp","Col4a3bp",1318,84,8,140,74,124
"Hmgcr","Hmgcr",3983,435,340,235,400,619
"Poc5","Poc5",436,0,0,86,157,148
"Iqgap2","Iqgap2",0,0,2,33,126,125
"Aggf1","Aggf1",1423,1557,1965,792,358,570
"Pde8b","Pde8b",322,88,0,223,134,96
"Ap3b1","Ap3b1",5191,2491,1898,636,487,1856
"Scamp1","Scamp1",3206,418,1192,429,168,453
"Jmy","Jmy",0,171,56,58,92,147
"Dimt1","Dimt1",60,0,0,111,41,67
"Kif2a","Kif2a",50,0,0,62,87,54
"Ercc8","Ercc8",0,0,122,144,136,103
"Elovl7","Elovl7",0,184,0,57,30,27
"Depdc1b","Depdc1b",0,0,0,38,83,38
"Pde4d","Pde4d",0,0,2,66,214,138
"Rab3c","Rab3c",0,0,0,62,271,135
"Plk2","Plk2",7264,435,31,1103,664,647
"Serinc5","Serinc5",372,0,0,2,23,23
"Mtx3","Mtx3",0,50,18,14,114,105
"Zfyve16","Zfyve16",1217,297,0,39,93,172
"Dhfr","Dhfr",572,212,163,158,203,167
"Rasgrf2","Rasgrf2",0,0,0,16,118,113
"Erbin","Erbin",1777,317,237,122,158,414
"Nln","Nln",731,402,211,107,242,401
"Trappc13","Trappc13",2180,493,385,384,335,331
"Trim23","Trim23",423,0,0,12,74,87
"Ppwd1","Ppwd1",0,0,0,13,71,61
"Cenpk","Cenpk",0,0,0,39,97,55
"Cwc27","Cwc27",614,0,181,148,145,230
"Srek1ip1","Srek1ip1",187,110,53,61,77,78
"Parp8","Parp8",105,0,0,44,131,132
"Emb","Emb",2924,513,1459,399,351,355
"Hcn1","Hcn1",0,0,0,31,177,145
"Mrps30","Mrps30",161,378,343,215,140,247
"Slc4a7","Slc4a7",0,435,42,111,140,275
"Psmd6","Psmd6",1573,786,557,376,302,589
"Atxn7","Atxn7",23,27,107,46,175,68
"Ptprg","Ptprg",0,0,572,30,119,105
"Pdhb","Pdhb",3853,765,1625,618,333,488
"Kctd6","Kctd6",2,28,0,0,15,70
"Map3k1","Map3k1",543,154,325,59,210,198
"Il6st","Il6st",566,824,8,64,377,407
"Plpp1","Plpp1",0,0,120,0,85,55
"BC067074","BC067074",0,0,0,14,133,78
"Ndufs4","Ndufs4",1810,247,636,256,307,554
"Kat6b","Kat6b",0,0,0,63,206,303
"Dusp13","Dusp13",0,0,0,4,17,3
"Samd8","Samd8",579,197,787,121,162,243
"Vdac2","Vdac2",4971,1756,1340,816,528,1719
"Nkiras1","Nkiras1",0,0,0,2,36,90
"Comtd1","Comtd1",321,11,48,13,39,38
"Ube2e1","Ube2e1",288,8,40,80,97,187
"Nr1d2","Nr1d2",301,0,123,75,17,1
"Ngly1","Ngly1",233,36,252,96,35,98
"Oxsm","Oxsm",0,0,0,2,27,11
"Fam213a","Fam213a",953,230,0,30,73,218
"Glud1","Glud1",2302,999,939,455,334,593
"Bmpr1a","Bmpr1a",323,72,0,16,135,420
"Rtraf","Rtraf",1386,887,2304,996,420,1123
"Nudt13","Nudt13",185,0,0,36,87,106
"Ecd","Ecd",433,0,383,219,362,294
"Dnajc9","Dnajc9",996,285,207,166,99,51
"Anxa7","Anxa7",3559,233,545,294,139,637
"Ppp3cb","Ppp3cb",107,235,37,89,144,115
"Zswim8","Zswim8",557,120,1,115,169,211
"Camk2g","Camk2g",52,31,5,75,99,146
"Plau","Plau",443,0,0,9,30,122
"Vcl","Vcl",1314,0,0,13,62,143
"Ap3m1","Ap3m1",478,127,368,261,142,148
"Txndc16","Txndc16",39,163,263,314,390,379
"Ero1l","Ero1l",3878,336,1194,419,242,446
"Psmc6","Psmc6",2322,360,230,503,304,689
"Samd4","Samd4",62,182,47,37,29,42
"Mapk1ip1l","Mapk1ip1l",1129,368,265,183,162,416
"Ktn1","Ktn1",1076,87,10,110,184,504
"Anxa11","Anxa11",169,0,123,0,11,34
"Ppif","Ppif",459,174,204,230,94,269
"Slmap","Slmap",1601,242,508,103,55,129
"Rnase4","Rnase4",1349,65,30,65,76,366
"Arf4","Arf4",2206,447,1111,629,334,777
"Gpr65","Gpr65",7,0,0,13,15,18
"Eaf1","Eaf1",3286,842,867,329,143,900
"Mettl6","Mettl6",1283,266,249,84,128,336
"Sh3bp5","Sh3bp5",402,110,0,95,74,264
"Capn7","Capn7",1541,87,779,65,173,232
"Arhgef3","Arhgef3",0,0,0,109,62,65
"Btd","Btd",483,97,0,8,59,19
"Bap1","Bap1",1372,508,0,303,186,276
"Phf7","Phf7",0,14,0,120,85,134
"Dph3","Dph3",313,416,188,477,175,415
"Oxnad1","Oxnad1",278,0,0,12,64,36
"Gm6768","Gm6768",26,2,5,10,27,23
"Nisch","Nisch",5322,98,579,138,290,363
"Parg","Parg",2526,192,0,44,129,141
"Ogdhl","Ogdhl",728,151,583,86,142,121
"Glt8d1","Glt8d1",670,110,1,12,53,101
"Spcs1","Spcs1",1903,532,911,601,215,665
"Nek4","Nek4",1,2,221,50,102,111
"Ebpl","Ebpl",521,127,384,194,259,353
"Kpna3","Kpna3",1,308,270,99,206,317
"Spryd7","Spryd7",906,209,414,273,169,290
"Rnaseh2b","Rnaseh2b",343,58,190,199,154,329
"Mapk8","Mapk8",0,0,0,102,222,111
"Pspc1","Pspc1",781,51,1,87,83,112
"Ctsb","Ctsb",167810,22905,40844,5523,10251,19578
"Zmym2","Zmym2",0,1,0,14,120,118
"Cryl1","Cryl1",630,60,152,130,219,375
"Prkcd","Prkcd",4086,439,271,336,280,413
"Eef1akmt1","Eef1akmt1",222,162,429,128,78,136
"Xpo4","Xpo4",7,406,216,193,209,330
"Tkt","Tkt",6669,954,1136,873,561,1707
"Pinx1","Pinx1",0,74,2,60,36,82
"Lats2","Lats2",0,0,71,23,30,100
"Dcp1a","Dcp1a",765,48,277,9,132,55
"Sap18","Sap18",1455,460,444,635,473,824
"Ska3","Ska3",333,32,0,225,79,60
"Mrpl57","Mrpl57",1363,237,274,468,165,491
"Zdhhc20","Zdhhc20",2547,323,0,139,195,255
"Hmbox1","Hmbox1",23,61,13,101,265,190
"Micu2","Micu2",1442,153,19,88,174,302
"Ints9","Ints9",288,0,221,175,230,348
"Extl3","Extl3",26,61,28,132,48,47
"Cab39l","Cab39l",1547,92,489,189,184,494
"Cdadc1","Cdadc1",101,35,218,92,81,93
"Atp8a2","Atp8a2",0,0,0,48,91,92
"Mtmr6","Mtmr6",1478,195,1009,205,121,363
"Spata13","Spata13",0,0,0,31,77,165
"Cacna2d3","Cacna2d3",0,0,0,39,149,114
"Mipep","Mipep",332,248,307,41,62,52
"Esd","Esd",12276,1450,2906,1846,1207,2611
"Lcp1","Lcp1",27525,106212,92428,41854,16347,45129
"Zc3h13","Zc3h13",542,236,93,514,502,991
"Slc25a30","Slc25a30",168,105,0,122,84,220
"Gpalpp1","Gpalpp1",308,224,0,38,94,375
"Nufip1","Nufip1",715,0,173,8,74,65
"Tsc22d1","Tsc22d1",0,68,1,57,71,43
"Dnajc15","Dnajc15",1038,107,301,564,216,578
"Epsti1","Epsti1",253,0,18,14,66,93
"Akap11","Akap11",163,45,375,13,96,121
"Rgcc","Rgcc",535,50,132,75,122,199
"Tdrd3","Tdrd3",0,0,72,36,3,79
"Naa16","Naa16",371,136,253,7,98,348
"Diaph3","Diaph3",0,0,0,13,49,31
"Mtrf1","Mtrf1",732,137,0,118,35,19
"Wbp4","Wbp4",266,31,1,120,202,214
"Sugt1","Sugt1",1486,83,437,136,200,448
"Olfm4","Olfm4",0,0,0,0,11,17
"Elp3","Elp3",695,975,587,161,264,760
"Pbk","Pbk",36,85,94,243,45,57
"Esco2","Esco2",0,6,17,0,57,73
"Ccdc25","Ccdc25",44,161,34,111,232,403
"Clu","Clu",8249,1534,2413,415,660,1444
"Trim35","Trim35",6518,970,3195,2189,1154,2006
"Dpysl2","Dpysl2",199,142,125,92,102,256
"Bnip3l","Bnip3l",6390,653,408,609,411,1066
"Ppp2r2a","Ppp2r2a",2082,260,0,180,272,473
"Pibf1","Pibf1",599,0,0,20,139,180
"Bora","Bora",0,85,380,88,226,87
"Tnfrsf10b","Tnfrsf10b",0,0,8,21,64,57
"Rhobtb2","Rhobtb2",353,0,0,75,197,256
"Bin3","Bin3",2496,211,117,189,144,274
"Pdlim2","Pdlim2",192,54,16,190,73,111
"Ppp3cc","Ppp3cc",0,0,0,32,45,36
"Slc39a14","Slc39a14",0,13,846,10,102,65
"Fam160b2","Fam160b2",321,0,0,20,91,23
"Bmp1","Bmp1",0,0,0,40,161,132
"Dmtn","Dmtn",0,0,0,33,122,282
"Xpo7","Xpo7",2133,44,320,69,283,218
"Dok2","Dok2",259,0,0,92,55,80
"Rb1","Rb1",0,0,0,31,52,38
"Rcbtb2","Rcbtb2",1491,325,83,143,198,417
"Itm2b","Itm2b",21386,3079,6524,1620,1022,2812
"Med4","Med4",250,91,143,44,112,152
"Sucla2","Sucla2",2412,279,806,124,210,456
"Uchl3","Uchl3",1256,134,731,203,117,249
"Spry2","Spry2",0,0,25,0,33,15
"Rbm26","Rbm26",369,61,0,175,153,113
"Rnf219","Rnf219",107,48,0,84,31,97
"Scel","Scel",688,41,0,13,108,54
"Fbxl3","Fbxl3",777,148,882,15,60,355
"Cln5","Cln5",3839,812,559,229,146,510
"Acod1","Acod1",16666,187,2505,7648,3901,8010
"Dct","Dct",28,92,87,86,117,244
"Tgds","Tgds",429,0,70,76,75,34
"Gpr180","Gpr180",0,1,128,16,25,84
"Dnajc3","Dnajc3",3153,443,584,141,124,296
"Mbnl2","Mbnl2",855,0,355,115,172,239
"Nipbl","Nipbl",0,1,178,21,249,186
"Nup155","Nup155",126,629,727,305,358,500
"Gdnf","Gdnf",0,0,0,33,15,51
"Osmr","Osmr",0,0,0,39,291,269
"Fyb","Fyb",1130,290,388,601,412,965
"C9","C9",0,0,13,112,139,100
"Dab2","Dab2",5665,1862,1995,626,476,1285
"Ttc33","Ttc33",507,494,285,228,243,424
"Rab2b","Rab2b",0,36,0,5,9,11
"Mettl3","Mettl3",263,175,190,169,219,260
"Dad1","Dad1",2148,632,651,585,251,1046
"Lrp10","Lrp10",1344,297,253,56,77,329
"Haus4","Haus4",695,386,720,147,180,631
"Ajuba","Ajuba",158,22,96,4,30,154
"X4931414P19Rik","4931414P19Rik",0,0,172,19,6,52
"Slc7a8","Slc7a8",3436,251,0,60,159,261
"C6","C6",0,0,0,64,91,95
"Fbxo4","Fbxo4",0,88,127,25,103,194
"Acin1","Acin1",103,6,119,22,102,186
"Oxct1","Oxct1",8628,3328,3908,1092,695,1921
"Gm5546","Gm5546",0,0,0,64,154,98
"Drosha","Drosha",1146,631,584,69,122,247
"Psmb5","Psmb5",4217,882,1467,1267,680,1755
"Pabpn1","Pabpn1",4,5,3,15,46,19
"X6030458C11Rik","6030458C11Rik",1688,2056,2847,358,331,917
"Pdzd2","Pdzd2",969,4447,4315,3769,1335,3592
"Slc22a17","Slc22a17",0,18,85,0,16,76
"Golph3","Golph3",1881,60,711,255,232,657
"Zfr","Zfr",2183,1006,392,594,255,286
"Ngdn","Ngdn",623,729,124,290,187,545
"Sub1","Sub1",2928,804,1440,808,256,811
"Dhrs4","Dhrs4",273,0,70,91,74,143
"Dcaf11","Dcaf11",662,80,97,109,207,352
"Psme1","Psme1",1986,262,801,601,375,782
"Emc9","Emc9",161,110,0,93,23,4
"Tgm1","Tgm1",0,0,0,1,14,36
"Ripk3","Ripk3",0,0,191,75,10,41
"Zscan26","Zscan26",0,0,0,39,31,21
"Cct5","Cct5",10157,3583,3201,1909,1102,2471
"Cmbl","Cmbl",0,0,0,1,18,53
"Ropn1l","Ropn1l",136,0,0,0,21,6
"Ankrd33b","Ankrd33b",0,43,0,55,76,53
"Ctnnd2","Ctnnd2",40,0,0,220,479,400
"Tars","Tars",3617,839,1140,291,380,712
"Amacr","Amacr",399,76,137,134,27,115
"Rai14","Rai14",1350,0,439,258,175,145
"Brix1","Brix1",2542,523,812,706,426,920
"Rad1","Rad1",721,69,1,164,186,250
"Nadk2","Nadk2",385,251,202,291,171,690
"Mtdh","Mtdh",2280,1511,2011,966,635,1184
"Laptm4b","Laptm4b",1623,979,833,147,225,882
"Dnah5","Dnah5",0,0,0,52,264,127
"Trio","Trio",0,69,2,208,629,546
"Ank","Ank",373,2371,1517,116,164,495
"X44996","44996",111,43,48,115,234,116
"Retreg1","Retreg1",1559,524,949,479,314,469
"Myo10","Myo10",758,422,142,1499,633,1116
"Rnf19a","Rnf19a",572,211,0,1,39,43
"Pabpc1","Pabpc1",8569,11902,7540,9998,4005,10970
"Ywhaz","Ywhaz",12266,1615,2113,806,815,2222
"Grhl2","Grhl2",0,0,0,56,231,180
"Rrm2b","Rrm2b",0,226,0,71,121,65
"Atp6v1c1","Atp6v1c1",20886,18140,19967,6144,2917,6626
"Fzd6","Fzd6",545,1,0,0,11,21
"Slc25a32","Slc25a32",1590,24,24,142,394,185
"Dcaf13","Dcaf13",2240,711,1073,1836,1068,1707
"Dcstamp","Dcstamp",1075,244,879,6,114,52
"Dpys","Dpys",345,284,284,287,140,535
"Lrp12","Lrp12",4904,744,774,170,352,585
"Zfpm2","Zfpm2",0,0,0,0,25,30
"Oxr1","Oxr1",1732,738,900,377,196,616
"Csmd3","Csmd3",0,1,0,113,352,210
"Eif3h","Eif3h",3120,849,1746,1058,485,1271
"Utp23","Utp23",77,0,0,65,6,24
"Rad21","Rad21",294,24,76,81,43,122
"Shcbp1","Shcbp1",299,1,283,39,158,362
"Rida","Rida",478,153,161,207,166,211
"Matn2","Matn2",0,24,14,37,84,45
"Pop1","Pop1",548,557,504,219,224,388
"Stk3","Stk3",2211,0,113,54,227,42
"Zfat","Zfat",0,0,0,1,15,76
"Eif3e","Eif3e",4433,764,1377,830,439,1255
"Emc2","Emc2",1274,164,155,297,65,296
"Eny2","Eny2",165,167,179,224,146,284
"Ebag9","Ebag9",408,0,0,9,26,78
"Sybu","Sybu",0,0,0,68,92,79
"Myc","Myc",0,0,0,2,44,38
"Washc5","Washc5",2933,20,305,174,253,407
"Sqle","Sqle",3216,791,522,272,344,1082
"Mtss1","Mtss1",1248,39,910,139,301,221
"Ndufb9","Ndufb9",1523,322,348,281,206,477
"Klhl38","Klhl38",0,0,0,0,1,0
"Fbxo32","Fbxo32",618,7,0,31,73,192
"Wdyhv1","Wdyhv1",112,64,304,65,136,149
"Atad2","Atad2",1219,34,20,51,457,361
"Zhx1","Zhx1",0,61,8,29,50,13
"Tbc1d31","Tbc1d31",866,13,0,22,41,138
"Derl1","Derl1",4866,1528,1128,431,337,665
"Mtbp","Mtbp",0,148,1,34,46,134
"Mrpl13","Mrpl13",758,222,196,197,409,708
"Sla","Sla",441,74,0,157,223,117
"Adcy8","Adcy8",0,0,0,62,210,228
"Asap1","Asap1",1833,30,638,254,172,354
"Fam49b","Fam49b",473,19,46,182,198,191
"Gtse1","Gtse1",259,114,0,139,106,194
"Trmu","Trmu",0,0,0,15,20,75
"Brd1","Brd1",0,43,0,220,209,246
"Tef","Tef",788,1027,1624,288,79,107
"Zc3h7b","Zc3h7b",6,0,0,51,162,90
"Rangap1","Rangap1",1603,477,804,262,304,1047
"L3mbtl2","L3mbtl2",1147,164,727,190,152,401
"Rbx1","Rbx1",3375,912,881,1606,721,2061
"Xpnpep3","Xpnpep3",11,162,0,106,161,192
"St13","St13",2767,452,1377,950,654,1046
"Slc25a17","Slc25a17",221,288,389,69,75,123
"Adsl","Adsl",1373,257,524,509,211,259
"Mief1","Mief1",1144,523,86,83,139,195
"Tab1","Tab1",578,37,14,5,60,194
"Syngr1","Syngr1",6937,2417,2756,815,426,1247
"Deptor","Deptor",0,210,223,179,156,247
"Dnal4","Dnal4",930,220,124,282,84,284
"Nptxr","Nptxr",196,118,0,0,11,50
"Dscc1","Dscc1",0,0,0,14,22,23
"Enpp2","Enpp2",0,8,0,38,95,120
"Josd1","Josd1",729,345,674,109,77,225
"Tomm22","Tomm22",2577,274,677,394,367,731
"Cby1","Cby1",0,6,0,21,61,71
"Csnk1e","Csnk1e",1028,218,62,116,151,254
"Fam118a","Fam118a",1112,93,0,129,197,80
"Sh3bp1","Sh3bp1",35,0,0,0,1,21
"Samm50","Samm50",2660,920,1135,725,398,790
"Parvb","Parvb",58,1,9,81,110,192
"Parvg","Parvg",2906,670,2171,404,174,201
"C1qtnf6","C1qtnf6",0,0,0,0,1,0
"Efcab6","Efcab6",0,0,0,27,81,153
"Ttll1","Ttll1",1255,0,0,4,83,194
"Myh9","Myh9",3189,340,798,378,334,713
"Ndufa6","Ndufa6",1946,554,717,320,196,480
"Twf1","Twf1",178,235,445,59,200,315
"Smdt1","Smdt1",1220,469,764,672,297,823
"Naga","Naga",4958,410,661,148,194,783
"X45172","45172",0,6,0,1,98,154
"Slc38a2","Slc38a2",19203,899,1394,566,726,1990
"Srebf2","Srebf2",3592,2267,2112,744,405,498
"Slc38a4","Slc38a4",0,0,0,41,32,87
"Rpap3","Rpap3",880,27,243,170,121,169
"Rapgef3","Rapgef3",0,4,1,51,154,149
"Xrcc6","Xrcc6",1518,114,12,324,109,468
"Desi1","Desi1",279,115,167,243,141,121
"Pmm1","Pmm1",141,297,471,138,146,425
"Hdac7","Hdac7",0,0,1,24,89,146
"Polr3h","Polr3h",331,422,0,141,82,333
"Aco2","Aco2",8069,1056,2691,949,473,2166
"Vdr","Vdr",0,0,0,25,144,291
"Hoxc5","Hoxc5",0,0,0,5,2,0
"Nckap1l","Nckap1l",10207,1439,1375,785,566,1014
"Pde1b","Pde1b",26,0,88,4,55,36
"Tnfrsf17","Tnfrsf17",0,0,0,0,33,8
"Txndc11","Txndc11",273,219,15,139,213,235
"Litaf","Litaf",23980,3927,9137,4900,3213,5042
"Nubp1","Nubp1",225,115,62,49,72,164
"Ciita","Ciita",26,0,40,66,65,65
"X1810013L24Rik","1810013L24Rik",606,318,225,127,246,336
"Bcl6","Bcl6",0,0,176,52,143,66
"Trp63","Trp63",0,0,0,59,102,128
"Il1rap","Il1rap",0,0,0,47,51,129
"Anks3","Anks3",156,168,0,7,85,158
"Nudt16l1","Nudt16l1",634,99,258,196,110,298
"Mgrn1","Mgrn1",3684,553,608,160,216,814
"X4930562C15Rik","4930562C15Rik",0,0,0,33,51,43
"Srl","Srl",0,1,0,63,20,92
"Crebbp","Crebbp",251,348,145,145,185,286
"Zfp251","Zfp251",954,25,42,99,64,167
"Zfp263","Zfp263",647,436,190,240,202,277
"Atp13a3","Atp13a3",517,102,112,70,129,256
"Glyr1","Glyr1",2748,266,43,391,226,936
"Tmem44","Tmem44",0,0,0,29,62,94
"Lsg1","Lsg1",1010,204,0,26,167,189
"Rogdi","Rogdi",970,221,0,206,60,174
"X4930451G09Rik","4930451G09Rik",0,0,0,13,60,75
"Eef2kmt","Eef2kmt",256,51,0,106,67,138
"Ercc4","Ercc4",0,251,0,115,137,199
"Gpt","Gpt",1249,353,330,227,122,424
"Adck5","Adck5",4,0,169,7,63,137
"Cyc1","Cyc1",4561,1214,912,1443,901,1943
"Sharpin","Sharpin",850,200,412,57,52,286
"Maf1","Maf1",643,398,619,391,170,271
"Hgh1","Hgh1",229,0,0,148,92,81
"Dgat1","Dgat1",0,211,339,17,141,227
"Hsf1","Hsf1",61,120,0,241,38,147
"Bop1","Bop1",1356,354,0,19,115,534
"Mroh1","Mroh1",3602,362,45,286,482,917
"Fbxl6","Fbxl6",210,80,259,299,26,146
"Slc52a2","Slc52a2",649,51,449,93,112,147
"Gpaa1","Gpaa1",491,112,59,101,43,223
"Oplah","Oplah",0,0,0,0,43,12
"Grina","Grina",6280,1017,1476,426,341,1538
"Plec","Plec",3262,1072,1354,782,418,470
"Scrib","Scrib",240,416,1454,246,108,251
"Tsta3","Tsta3",2268,350,241,269,229,323
"Pycrl","Pycrl",33,163,611,313,120,219
"Gsdmd","Gsdmd",2066,101,657,171,112,150
"Ly6e","Ly6e",6701,1599,2638,587,584,1236
"Zbtb11","Zbtb11",759,375,67,72,177,156
"Arc","Arc",0,0,0,1,19,0
"Cep97","Cep97",143,0,52,74,170,126
"Ptk2","Ptk2",531,6,0,214,184,267
"Lmf2","Lmf2",1176,159,343,95,43,21
"Tymp","Tymp",8,1,0,0,20,33
"Mapk8ip2","Mapk8ip2",28,0,0,104,84,51
"Arsa","Arsa",1109,0,296,104,34,334
"Rabl2","Rabl2",178,89,108,15,59,140
"Kif21a","Kif21a",0,0,23,70,166,128
"Yaf2","Yaf2",300,166,265,221,135,151
"Zcrb1","Zcrb1",968,492,224,745,278,619
"Alcam","Alcam",3200,69,200,102,211,359
"Cblb","Cblb",387,0,0,2,84,58
"Dubr","Dubr",0,68,37,40,47,54
"Bbx","Bbx",594,561,443,128,118,91
"Nectin3","Nectin3",0,0,0,58,116,118
"Tagln3","Tagln3",0,0,210,0,7,1
"Atg3","Atg3",1714,197,431,226,123,235
"Slc35a5","Slc35a5",598,0,0,0,40,0
"Gtpbp8","Gtpbp8",353,57,0,13,77,48
"Mzt2","Mzt2",229,78,0,14,34,155
"Prkdc","Prkdc",350,0,0,105,241,115
"Mcm4","Mcm4",2383,565,0,448,182,302
"Ube2v2","Ube2v2",389,88,28,43,72,43
"Fopnl","Fopnl",754,119,479,187,150,297
"Nde1","Nde1",446,71,2,216,45,268
"Mpv17l","Mpv17l",0,8,0,91,80,49
"Pdxdc1","Pdxdc1",2328,555,292,216,292,419
"Ntan1","Ntan1",742,98,447,110,164,172
"Rrn3","Rrn3",1015,173,446,197,268,696
"Bfar","Bfar",0,256,410,136,222,427
"Parn","Parn",2029,148,22,42,142,152
"Naa50","Naa50",2004,254,441,646,461,636
"Ccdc191","Ccdc191",0,0,9,126,48,96
"Hira","Hira",1,51,119,21,42,69
"Qtrt2","Qtrt2",358,0,16,0,10,6
"Mrpl40","Mrpl40",597,33,142,231,172,370
"Gbe1","Gbe1",1767,0,241,18,225,283
"Zbtb20","Zbtb20",92,157,0,109,379,314
"Usp7","Usp7",183,93,69,266,219,225
"Pmm2","Pmm2",690,231,149,266,195,399
"Dgcr8","Dgcr8",381,0,72,37,129,84
"Trmt2a","Trmt2a",2228,0,0,438,96,562
"Arl6","Arl6",144,0,0,0,24,62
"Crybg3","Crybg3",102,14,271,73,111,362
"Riox2","Riox2",229,0,734,223,180,353
"Cpox","Cpox",859,81,2,108,124,197
"Cldnd1","Cldnd1",958,119,445,9,66,176
"St3gal6","St3gal6",197,50,220,44,129,164
"Cmss1","Cmss1",256,0,35,120,119,111
"Tbc1d23","Tbc1d23",2537,131,232,47,272,503
"Klhl22","Klhl22",2245,0,0,46,251,381
"Nit2","Nit2",137,186,442,123,111,202
"Tomm70a","Tomm70a",4325,960,164,144,334,532
"Tfg","Tfg",1311,101,0,75,99,282
"Thap7","Thap7",216,1,34,176,32,156
"Lztr1","Lztr1",567,78,5,50,105,215
"Snap29","Snap29",337,445,260,39,66,91
"Ccdc116","Ccdc116",0,6,0,0,60,41
"Sdf2l1","Sdf2l1",1940,488,666,367,234,597
"Dlg1","Dlg1",786,18,306,52,237,254
"Ppil2","Ppil2",2106,385,433,149,255,401
"Senp5","Senp5",708,422,1272,156,193,136
"Ypel1","Ypel1",0,0,0,17,81,104
"Ncbp2","Ncbp2",147,170,415,236,73,96
"Top3b","Top3b",1374,86,26,64,199,206
"Pak2","Pak2",1467,528,1305,162,217,196
"Wdr53","Wdr53",0,84,0,0,47,47
"Fgd4","Fgd4",583,14,118,14,137,59
