"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Tax1bp1","Tax1bp1",11644,348,2430,369,615,1887
"Ctse","Ctse",22,0,0,28,23,79
"Mettl17","Mettl17",148,108,0,198,0,539
"Arhgef40","Arhgef40",89,835,753,1036,936,970
"Pnpla6","Pnpla6",11,0,0,0,38,0
"Mcoln1","Mcoln1",3576,254,411,146,365,1601
"Arhgef18","Arhgef18",725,0,0,61,147,0
"Pkn2","Pkn2",485,78,221,292,290,396
"Cd33","Cd33",2757,151,843,160,35,746
"Etfb","Etfb",140,48,40,34,15,36
"Stxbp2","Stxbp2",6760,1373,1515,617,603,2254
"Sgce","Sgce",311,0,0,10,17,0
"Wwox","Wwox",0,19,0,9,0,246
"Slbp","Slbp",712,139,144,167,164,407
"Arid3b","Arid3b",0,0,0,82,0,0
"Cnn2","Cnn2",0,0,0,12,0,0
"Polr2e","Polr2e",1689,259,454,295,336,1215
"Abca13","Abca13",0,0,53,0,0,0
"Myo9b","Myo9b",3177,220,417,62,0,948
"Hdac9","Hdac9",0,0,0,0,0,0
"Ly9","Ly9",681,155,0,107,0,650
"Cd244a","Cd244a",0,0,0,34,0,0
"Adgre1","Adgre1",17706,3579,1633,1013,491,6125
"Mtfp1","Mtfp1",294,98,0,49,1,0
"Rab23","Rab23",0,0,0,79,72,0
"Rab11a","Rab11a",1744,243,551,244,386,1533
"Eif2b2","Eif2b2",1121,249,186,241,0,429
"Dlst","Dlst",1462,348,297,296,178,641
"Pgf","Pgf",0,0,2,0,0,0
"Ulk2","Ulk2",0,0,7,0,0,0
"Ccl24","Ccl24",0,0,0,6,0,0
"Dgkq","Dgkq",2,0,0,0,0,0
"Grap","Grap",0,0,0,0,0,0
"Chmp2b","Chmp2b",1349,161,433,189,152,119
"Plod3","Plod3",934,1075,450,359,461,161
"Ap1s1","Ap1s1",5118,1639,1393,839,897,3679
"Srpk1","Srpk1",3782,521,597,682,462,763
"Pax3","Pax3",0,0,11,0,0,0
"Lbr","Lbr",409,0,243,62,228,0
"Prcc","Prcc",346,20,130,22,0,0
"Rrnad1","Rrnad1",558,37,113,21,24,11
"Hdgf","Hdgf",2229,387,1273,559,722,835
"Thop1","Thop1",1947,163,74,356,261,54
"Apba3","Apba3",909,171,166,66,0,0
"Pias4","Pias4",794,210,332,224,48,189
"Map2k1","Map2k1",1464,505,435,108,499,1731
"Sgta","Sgta",3831,221,675,254,11,254
"Tmem242","Tmem242",420,202,214,213,164,534
"Dtx2","Dtx2",534,90,183,8,81,170
"Rasa4","Rasa4",0,65,22,47,192,390
"Hnrnpa2b1","Hnrnpa2b1",5209,1052,2601,833,1035,2756
"Ccdc130","Ccdc130",0,120,195,64,112,0
"Mri1","Mri1",3131,337,542,287,312,1910
"Prkacb","Prkacb",1013,970,1029,1036,603,312
"Sgsh","Sgsh",44,62,0,0,0,15
"Chd5","Chd5",0,0,10,4,0,0
"Cstb","Cstb",13001,2439,4387,1031,1277,6412
"Sh2b2","Sh2b2",853,118,419,81,295,0
"Pex5","Pex5",1212,1031,2064,2153,1488,282
"Jkamp","Jkamp",539,332,161,265,155,183
"Cd44","Cd44",3878,181,477,82,9,541
"Slc1a2","Slc1a2",0,0,42,0,46,0
"Eif2ak4","Eif2ak4",2524,396,687,644,418,495
"Wdr1","Wdr1",4814,538,1510,701,1174,2992
"Slc2a9","Slc2a9",838,0,166,0,35,0
"Ndrg1","Ndrg1",4209,242,527,284,129,1098
"X4930550C14Rik","4930550C14Rik",0,0,0,0,0,188
"Man2b1","Man2b1",8006,1239,1261,98,547,2136
"Wdr83","Wdr83",873,127,45,120,93,621
"Prdx2","Prdx2",4618,1905,1408,1423,1062,3151
"Polr2a","Polr2a",984,154,263,1,5,132
"Senp3","Senp3",317,394,9,234,212,280
"Plekha8","Plekha8",374,810,953,1357,576,466
"Spc25","Spc25",426,115,1012,349,219,367
"Dnah2","Dnah2",0,0,1,0,0,0
"Ufd1","Ufd1",1066,82,199,4,0,153
"Zfp287","Zfp287",0,6,4,4,1,0
"Prlr","Prlr",0,0,144,0,0,0
"Letm1","Letm1",761,10,270,11,0,6
"Ubqln1","Ubqln1",1592,734,2085,731,304,726
"Fgfr4","Fgfr4",1,6,18,9,15,16
"Txn2","Txn2",3421,1540,1988,2474,1889,3243
"Slc1a3","Slc1a3",0,0,12,0,1,0
"Crbn","Crbn",1087,0,147,105,0,0
"Msh6","Msh6",1080,484,71,145,43,1325
"Fbxo11","Fbxo11",0,17,129,0,0,0
"Mlxipl","Mlxipl",0,0,0,0,0,0
"Tbl2","Tbl2",296,1542,492,920,866,47
"Bud23","Bud23",1107,106,308,118,85,258
"Mcm5","Mcm5",858,604,574,635,288,207
"Hmox1","Hmox1",12284,2406,3618,1074,869,8236
"Mprip","Mprip",39,656,668,789,268,681
"Cic","Cic",88,1326,677,1632,1179,1504
"Il27ra","Il27ra",0,0,0,0,1,0
"Prkaca","Prkaca",430,106,136,27,9,32
"Asf1b","Asf1b",1354,0,21,30,74,917
"Ddx39","Ddx39",3519,371,982,365,723,2371
"Dnajb1","Dnajb1",727,138,225,56,17,438
"Usp40","Usp40",800,470,68,184,173,521
"Kbtbd4","Kbtbd4",282,83,134,23,0,61
"Celf1","Celf1",1856,400,518,881,853,1957
"Ndufs3","Ndufs3",2593,734,827,476,229,1155
"Por","Por",7791,1635,153,152,367,604
"Igf1r","Igf1r",26,13,101,30,31,1
"Insr","Insr",0,153,403,51,0,0
"Trim28","Trim28",1095,1275,756,1039,735,1024
"Ube2m","Ube2m",281,67,386,86,182,255
"Adcy9","Adcy9",181,0,68,47,0,0
"Mef2c","Mef2c",474,255,459,344,380,7
"Ctr9","Ctr9",2678,0,239,43,177,0
"Eif4g2","Eif4g2",16597,3157,4068,2092,2121,4126
"Pcyt1a","Pcyt1a",857,57,344,181,17,34
"Zfp592","Zfp592",997,0,0,44,0,0
"Psmd4","Psmd4",6487,1351,2203,838,419,2615
"Tmod4","Tmod4",0,0,0,0,0,0
"Snx6","Snx6",3084,1079,1246,1537,977,805
"Mthfd2","Mthfd2",4043,1161,1121,1183,841,465
"Kit","Kit",0,0,0,0,0,0
"Tomm40l","Tomm40l",286,129,144,101,134,114
"Apoa2","Apoa2",0,0,0,5,1,0
"Pan2","Pan2",552,19,0,7,0,450
"Cs","Cs",5764,892,1695,1332,1172,2687
"Ampd3","Ampd3",2078,462,345,16,31,0
"Bcas2","Bcas2",4878,713,892,1327,933,2236
"Ctcf","Ctcf",627,98,432,7,62,12
"Pard6a","Pard6a",185,17,7,33,0,136
"Tfap4","Tfap4",0,42,0,5,34,1
"Ranbp1","Ranbp1",1470,118,277,173,98,796
"Rfx5","Rfx5",332,0,0,22,0,0
"Psmb4","Psmb4",4523,1705,2477,2332,1558,2883
"Mmp8","Mmp8",256,100,0,0,0,0
"Slc30a4","Slc30a4",161,486,596,1142,886,477
"Sqor","Sqor",2775,73,712,98,0,1452
"Bloc1s6","Bloc1s6",1114,377,538,127,301,1131
"Metap1","Metap1",2441,136,286,414,792,211
"Gpr108","Gpr108",2687,452,352,219,0,519
"Tnfsf14","Tnfsf14",0,119,0,105,0,109
"Rsl1d1","Rsl1d1",4074,855,1118,384,872,1519
"Apc","Apc",122,29,0,319,257,11
"Reep5","Reep5",1358,593,513,351,240,702
"Ergic3","Ergic3",6250,1121,951,597,393,2622
"Uqcc1","Uqcc1",1253,631,933,610,525,842
"Ncoa2","Ncoa2",886,12,0,6,0,0
"Nr2c2","Nr2c2",0,500,634,443,139,209
"Nr2c1","Nr2c1",198,0,171,35,0,0
"Smpd4","Smpd4",0,33,1,16,3,0
"Pex1","Pex1",439,157,0,0,0,495
"Kctd20","Kctd20",2098,1615,1995,2592,2178,2781
"Ctns","Ctns",2049,359,0,132,0,1198
"Shpk","Shpk",0,0,0,0,0,0
"Ephb3","Ephb3",775,0,0,0,0,5
"Tuft1","Tuft1",425,0,1,4,0,0
"Rcn1","Rcn1",368,385,499,773,267,713
"Dnase1","Dnase1",106,0,0,0,0,0
"Trap1","Trap1",3321,668,925,463,423,2119
"Naa60","Naa60",720,71,0,73,167,802
"X1700037C18Rik","1700037C18Rik",82,35,0,13,22,0
"Ankrd13d","Ankrd13d",0,0,261,0,0,0
"Tpr","Tpr",1844,722,179,244,456,499
"Odr4","Odr4",2318,292,8,142,102,76
"Prg4","Prg4",0,0,0,0,0,0
"Dhx34","Dhx34",778,155,0,141,514,0
"Kptn","Kptn",222,91,0,10,0,0
"Napa","Napa",7964,761,1226,455,621,3388
"Sra1","Sra1",2106,155,517,74,233,991
"Atp5g1","Atp5g1",3158,1959,2417,1679,1241,2945
"Snf8","Snf8",666,367,300,810,582,630
"Tbcb","Tbcb",1398,426,427,153,275,178
"Inpp5k","Inpp5k",1284,122,0,0,29,0
"Crkl","Crkl",531,281,250,120,212,0
"Clint1","Clint1",1793,439,4,325,223,751
"Prss16","Prss16",0,98,376,64,112,212
"Cdkal1","Cdkal1",382,116,296,11,3,19
"X5430419D17Rik","5430419D17Rik",0,0,0,0,0,0
"Htra1","Htra1",19,130,190,66,67,188
"Zbtb17","Zbtb17",760,152,229,122,10,0
"Fblim1","Fblim1",4152,510,262,859,518,1663
"Hspb7","Hspb7",0,100,0,0,212,0
"Ccdc159","Ccdc159",260,122,40,18,0,0
"Mob1b","Mob1b",130,5,42,55,4,72
"Atp6v1b2","Atp6v1b2",25165,11330,13644,13393,8809,11809
"Eps15l1","Eps15l1",164,289,257,277,222,32
"Tep1","Tep1",1059,91,473,358,288,402
"Ttc5","Ttc5",1491,0,558,167,0,9
"Osgep","Osgep",948,59,249,239,276,125
"Aamp","Aamp",4605,422,295,211,468,1171
"Tmbim1","Tmbim1",3105,1185,458,492,463,712
"Arpc2","Arpc2",12519,2142,3847,1414,1863,5569
"Kmt2b","Kmt2b",0,0,0,95,0,21
"Zbtb32","Zbtb32",0,51,0,74,110,0
"Tmem147","Tmem147",1133,543,722,265,517,800
"Rps9","Rps9",12057,7701,8746,9897,8515,11823
"Tfpt","Tfpt",232,96,0,48,19,0
"Susd2","Susd2",0,0,0,0,0,0
"Ggt5","Ggt5",0,0,0,0,0,0
"Cbfa2t3","Cbfa2t3",0,0,5,0,0,0
"Fbln1","Fbln1",777,0,104,6,0,0
"Pgrmc1","Pgrmc1",777,72,369,39,67,948
"Gcat","Gcat",73,24,22,26,48,89
"Elovl1","Elovl1",3154,315,379,100,0,1108
"Med8","Med8",366,586,660,303,398,1010
"Hyi","Hyi",317,16,91,94,37,68
"Cdc20","Cdc20",909,261,1170,247,0,1681
"Adamts4","Adamts4",467,0,0,4,0,332
"Nectin4","Nectin4",0,0,41,0,0,0
"Pfdn2","Pfdn2",1181,241,105,64,129,344
"Rnf114","Rnf114",3423,676,816,905,470,1981
"C330007P06Rik","C330007P06Rik",2604,279,742,464,562,707
"Neurl1a","Neurl1a",8,0,0,31,1,0
"Srm","Srm",3614,5344,3650,5403,4558,3820
"Epha2","Epha2",0,0,0,0,0,0
"Rbm14","Rbm14",554,157,184,154,22,504
"Actn3","Actn3",0,0,0,0,0,0
"A530013C23Rik","A530013C23Rik",0,0,0,5,0,0
"Zdhhc24","Zdhhc24",1095,16,14,0,0,144
"Bbs1","Bbs1",0,8,0,0,126,0
"Ndor1","Ndor1",153,17,54,35,2,60
"Nsmf","Nsmf",0,0,3,0,0,397
"Pdk1","Pdk1",1635,2217,1281,1998,1276,1586
"Ptbp1","Ptbp1",2607,314,1178,293,305,827
"Mvd","Mvd",2849,740,855,655,442,1059
"Cyba","Cyba",33890,5952,9068,2566,3812,12274
"Tmem110","Tmem110",0,66,219,296,58,422
"Sfmbt1","Sfmbt1",58,218,387,146,117,199
"Rundc3a","Rundc3a",131,0,311,100,68,9
"Slc4a3","Slc4a3",0,0,0,0,0,121
"Cdt1","Cdt1",569,247,474,236,110,0
"Aprt","Aprt",5318,1376,1291,658,907,2673
"Gtf2h1","Gtf2h1",1798,926,1035,487,793,1066
"Hfe","Hfe",519,231,105,258,181,493
"Slc5a6","Slc5a6",0,253,0,73,0,327
"Qrich1","Qrich1",3443,253,464,223,394,1235
"Usp19","Usp19",3747,863,917,99,536,21
"Pola1","Pola1",488,8,365,159,102,11
"Cdc42","Cdc42",10550,894,2340,743,1146,2238
"Pknox1","Pknox1",515,1072,718,1370,605,1594
"Gmnn","Gmnn",434,124,130,226,113,498
"Acot13","Acot13",517,228,191,119,331,502
"Zfp184","Zfp184",0,0,24,0,0,0
"Cdk4","Cdk4",8477,1552,3522,2742,2570,5147
"B4galnt1","B4galnt1",1646,391,0,226,281,1107
"Mettl1","Mettl1",263,67,275,209,275,287
"Tspan31","Tspan31",2611,176,471,19,54,926
"Kif5b","Kif5b",995,120,180,45,26,47
"Saal1","Saal1",419,26,6,163,1,268
"Tph2","Tph2",0,18,151,47,273,0
"Cnp","Cnp",1,0,193,65,0,0
"Ttc25","Ttc25",18,142,118,148,177,173
"Sulf2","Sulf2",3732,467,380,145,119,383
"Sod2","Sod2",2459,539,1005,686,472,1203
"Tmco6","Tmco6",238,0,0,84,0,0
"Stambp","Stambp",381,84,53,11,61,53
"Ezh1","Ezh1",1207,222,725,174,1,0
"Hap1","Hap1",135,178,0,0,0,0
"Ctnnb1","Ctnnb1",16088,2319,3315,1404,1777,3334
"Eif1b","Eif1b",252,591,559,417,543,399
"Psmd2","Psmd2",19219,2208,3644,1194,1769,2784
"Syngr3","Syngr3",0,0,0,0,0,0
"Vars","Vars",5159,1310,681,1476,834,882
"Hspa1l","Hspa1l",0,14,1,9,0,65
"Msh5","Msh5",23,0,29,0,0,14
"Abhd16a","Abhd16a",632,771,96,286,0,389
"Neu1","Neu1",6952,971,1992,358,578,3707
"Clic1","Clic1",6884,859,2228,792,491,3839
"Lsm2","Lsm2",871,506,427,623,652,531
"Pole","Pole",0,0,0,23,0,100
"Stx1a","Stx1a",0,0,0,32,0,0
"Zfp775","Zfp775",0,0,0,95,95,0
"Mrpl49","Mrpl49",696,238,118,125,113,356
"Dennd2c","Dennd2c",0,137,0,295,0,206
"Mark3","Mark3",51,78,393,131,38,7
"Gatad1","Gatad1",209,415,255,513,411,305
"M6pr","M6pr",7509,698,2063,876,426,2628
"Lrrc8a","Lrrc8a",7,0,6,0,23,24
"Ppp2r1a","Ppp2r1a",5770,1309,1358,270,335,1758
"Fance","Fance",598,143,2,211,129,1
"Tinf2","Tinf2",515,19,29,125,0,186
"Hapln4","Hapln4",0,33,622,57,0,0
"Dus3l","Dus3l",630,0,246,106,0,618
"Gtpbp3","Gtpbp3",0,0,0,1,0,292
"Tgfbr1","Tgfbr1",0,18,263,27,252,659
"Homer1","Homer1",461,1,25,27,14,0
"Rad51c","Rad51c",0,0,0,96,0,0
"Arpp19","Arpp19",1079,250,501,291,225,578
"Bcl2l1","Bcl2l1",1340,298,645,288,353,920
"Khsrp","Khsrp",1056,34,398,118,129,71
"Ccdc124","Ccdc124",1009,238,512,274,209,664
"Cct4","Cct4",5951,5292,4338,6009,5019,3374
"X0610009B22Rik","0610009B22Rik",645,135,203,12,27,167
"Cpt1c","Cpt1c",81,26,0,0,0,0
"Zfp655","Zfp655",1388,949,634,759,1219,350
"Rhoa","Rhoa",3191,341,787,216,301,1289
"Zmiz1","Zmiz1",1725,27,36,101,65,358
"Ankrd26","Ankrd26",256,132,33,74,243,0
"Aldh16a1","Aldh16a1",1418,185,0,123,297,0
"Hnrnpa0","Hnrnpa0",155,88,79,111,112,124
"Prrg2","Prrg2",0,0,0,19,1,19
"Hnrnph1","Hnrnph1",828,337,205,167,124,573
"Ift43","Ift43",97,171,64,87,45,0
"Id3","Id3",0,0,0,6,0,0
"Arid1a","Arid1a",464,4,495,79,18,81
"Ctsd","Ctsd",110981,17419,24110,3509,7695,38190
"Rplp1","Rplp1",4646,6406,6556,8185,6987,7153
"Abhd8","Abhd8",464,141,49,200,78,43
"Ift22","Ift22",1286,304,168,188,0,218
"Mid1ip1","Mid1ip1",1265,420,187,227,76,882
"Ap2s1","Ap2s1",2498,400,1054,446,484,861
"Fgfrl1","Fgfrl1",0,0,0,0,0,0
"X4930432K21Rik","4930432K21Rik",329,0,0,0,0,0
"Emc10","Emc10",933,165,513,190,180,586
"Clstn3","Clstn3",79,0,2,0,0,0
"Fbxw9","Fbxw9",174,0,270,0,0,222
"Fnbp4","Fnbp4",526,0,0,90,0,5
"Cers4","Cers4",0,0,0,0,0,0
"Scrn3","Scrn3",447,12,1,21,46,670
"Phax","Phax",713,221,329,183,0,370
"Tle1","Tle1",0,3,121,13,31,0
"Relt","Relt",0,495,0,653,430,7
"Snrpb2","Snrpb2",1213,50,467,120,0,207
"Ubc","Ubc",6778,962,1681,464,539,2165
"Prpf31","Prpf31",1260,22,476,198,35,1050
"Sertad1","Sertad1",144,65,209,19,59,0
"Carhsp1","Carhsp1",705,12,598,227,1,99
"Elk3","Elk3",52,108,592,210,58,216
"Herpud2","Herpud2",580,157,223,68,0,291
"Rdh13","Rdh13",196,0,5,77,253,40
"Nutf2","Nutf2",1336,308,915,449,417,525
"Arpc5","Arpc5",12622,2021,2765,2819,2767,5657
"Elavl2","Elavl2",0,0,0,1,0,0
"Pou2f2","Pou2f2",105,0,59,20,0,56
"Mgst1","Mgst1",5751,533,719,267,384,960
"Nfib","Nfib",0,0,3,0,5,6
"Ubqln4","Ubqln4",834,383,101,512,70,596
"Rps18","Rps18",19931,21006,21146,28046,22976,24465
"Rpl10","Rpl10",12236,6908,8072,6476,4818,7742
"Rps15a","Rps15a",3934,3340,4303,3905,3138,4428
"Ncaph2","Ncaph2",861,970,863,640,689,1053
"Hipk1","Hipk1",1223,875,514,1274,663,667
"Gprc5b","Gprc5b",141,0,11,4,0,0
"Man1a2","Man1a2",1501,220,254,292,101,1045
"Acyp1","Acyp1",292,5,82,23,0,0
"Hdac5","Hdac5",977,252,612,183,0,427
"Rala","Rala",405,513,469,649,260,215
"Vdac3","Vdac3",3299,440,685,572,669,1194
"Vps72","Vps72",1464,216,444,294,348,814
"Gabpa","Gabpa",785,144,0,59,222,327
"Dynll1","Dynll1",2912,889,986,802,582,1588
"Pdcl","Pdcl",581,298,0,36,0,267
"Tmem184b","Tmem184b",3458,418,337,181,255,416
"Nf2","Nf2",431,184,256,554,653,160
"Zmat5","Zmat5",245,52,53,39,63,132
"Ewsr1","Ewsr1",5424,726,1927,297,390,1455
"Ap1b1","Ap1b1",3264,1049,1148,388,587,246
"Gnat2","Gnat2",0,0,0,0,0,0
"Bcl2l13","Bcl2l13",458,1006,638,895,45,705
"Dqx1","Dqx1",0,16,12,19,22,0
"Ccl8","Ccl8",0,0,0,12,0,99
"Lnpk","Lnpk",606,102,0,17,0,0
"Pttg1ip","Pttg1ip",2072,596,174,205,348,310
"Trpm2","Trpm2",24,36,39,49,96,40
"Ube2g2","Ube2g2",432,414,857,812,495,382
"Met","Met",0,0,0,0,0,0
"Syn2","Syn2",0,75,0,0,88,0
"Elk1","Elk1",441,62,8,248,0,32
"Nav1","Nav1",20,31,186,131,56,258
"Tnpo1","Tnpo1",1904,223,183,130,162,439
"Rnmt","Rnmt",2485,511,511,217,162,5
"Srp14","Srp14",3600,834,1146,424,505,1781
"Cdk9","Cdk9",2889,468,464,436,853,1357
"Tor2a","Tor2a",491,265,473,95,0,741
"Fpgs","Fpgs",551,0,0,50,0,256
"Mrtfb","Mrtfb",2258,11,206,28,56,24
"Cbx5","Cbx5",918,4440,1353,6547,4149,1484
"Apobec3","Apobec3",548,120,198,31,70,191
"Sardh","Sardh",0,59,0,7,0,755
"Vav2","Vav2",467,176,199,83,93,0
"Ppp2cb","Ppp2cb",99,147,88,205,213,196
"Dmap1","Dmap1",490,76,453,196,100,210
"Mcu","Mcu",744,108,126,121,0,319
"Oit3","Oit3",863,6,275,60,319,347
"Bcr","Bcr",1,0,0,0,0,5
"Fxyd5","Fxyd5",16645,2337,5496,1182,1452,3509
"Tfcp2","Tfcp2",0,252,2,8,90,0
"Ubp1","Ubp1",180,43,330,56,187,109
"Nuak2","Nuak2",770,162,375,70,0,1
"Ick","Ick",345,0,0,0,0,0
"Sdhb","Sdhb",4491,1073,1159,685,201,1949
"Snap47","Snap47",1024,383,97,101,0,1094
"Kdsr","Kdsr",723,0,144,45,0,367
"Vps4b","Vps4b",1642,415,1517,316,256,82
"Rps25","Rps25",5845,5088,5528,5607,5145,6497
"Taz","Taz",1528,87,226,0,10,412
"Kif19a","Kif19a",73,16,0,7,80,0
"Aldh3a2","Aldh3a2",577,3,0,0,0,1351
"Tmem115","Tmem115",935,382,4,149,0,330
"Hyal2","Hyal2",1145,0,211,70,150,254
"Ifrd2","Ifrd2",114,272,370,298,201,721
"Hyal1","Hyal1",1892,77,47,76,93,248
"Tusc2","Tusc2",782,181,592,656,435,762
"Nprl2","Nprl2",447,0,175,22,0,253
"Rassf1","Rassf1",535,11,76,41,0,0
"Slc3a2","Slc3a2",10280,698,1628,382,299,1473
"Nxf1","Nxf1",1207,190,0,68,0,317
"Stx5a","Stx5a",1313,507,331,101,9,240
"Tnfrsf13b","Tnfrsf13b",339,456,97,41,47,318
"Spire2","Spire2",0,101,9,50,0,0
"X2610507B11Rik","2610507B11Rik",4463,285,881,896,955,3927
"AI597479","AI597479",32,5,312,210,0,0
"Tmem86a","Tmem86a",1343,155,156,0,56,0
"Tex14","Tex14",166,3,0,35,0,0
"Ifi35","Ifi35",643,90,104,68,34,18
"Rdm1","Rdm1",0,0,112,87,0,180
"Nedd8","Nedd8",2485,501,647,318,324,1639
"Gosr1","Gosr1",643,476,5,560,224,53
"Mrpl52","Mrpl52",1387,540,801,459,402,983
"Kansl3","Kansl3",524,273,754,474,0,396
"Eya4","Eya4",0,71,0,0,0,72
"Faf1","Faf1",1040,97,80,109,155,210
"Tsacc","Tsacc",30,0,26,57,8,9
"Mettl16","Mettl16",716,2,0,449,126,801
"Pigyl","Pigyl",317,17,175,45,45,57
"Rbm25","Rbm25",594,391,224,624,406,394
"Psen2","Psen2",1721,137,405,37,5,313
"Plcd1","Plcd1",0,0,0,0,0,0
"Fads1","Fads1",7143,2456,2041,2184,1929,2256
"Lmbr1","Lmbr1",0,0,0,86,153,31
"Tnfrsf22","Tnfrsf22",590,386,629,151,54,448
"Cars","Cars",3145,619,831,117,103,1328
"Phlda2","Phlda2",108,0,0,0,0,0
"Kdelr3","Kdelr3",581,147,0,53,0,0
"Apip","Apip",633,169,108,74,198,447
"Pdhx","Pdhx",2813,158,569,195,226,1008
"Vac14","Vac14",3496,325,495,278,397,1999
"Mcoln2","Mcoln2",1165,13,723,152,0,379
"Akt1s1","Akt1s1",359,168,244,392,137,290
"Tbrg1","Tbrg1",1524,813,1015,759,404,1600
"Adssl1","Adssl1",3353,1218,637,305,802,1753
"Brf1","Brf1",1083,433,319,247,77,0
"Odc1","Odc1",1099,9465,7649,11725,8618,5638
"Thg1l","Thg1l",1,0,2,0,1,0
"Pabpc4","Pabpc4",535,2619,2942,4773,3041,1631
"Exoc3l2","Exoc3l2",0,0,0,0,0,0
"Zfp296","Zfp296",0,0,227,6,80,0
"Sugp1","Sugp1",1777,266,566,256,0,439
"Dhdh","Dhdh",471,11,17,21,16,18
"Zfp790","Zfp790",551,117,0,85,142,493
"Fuz","Fuz",149,0,0,0,0,0
"Sptbn4","Sptbn4",0,0,38,0,0,0
"Pgam1","Pgam1",11830,2434,3408,2163,2000,6219
"Evi5","Evi5",0,7,0,100,0,33
"Evi5l","Evi5l",17,0,155,40,0,0
"Snapc2","Snapc2",163,54,249,192,103,734
"Git1","Git1",1019,46,102,166,8,28
"Gltp","Gltp",4030,777,1884,942,631,1265
"Bnip2","Bnip2",1068,277,375,540,142,0
"Ccnt1","Ccnt1",940,1119,670,2893,1353,1901
"Brms1l","Brms1l",0,30,14,172,0,0
"Med15","Med15",393,91,340,337,359,133
"Dhdds","Dhdds",3011,136,489,90,10,877
"Crybg2","Crybg2",0,0,0,16,48,0
"Ubxn11","Ubxn11",0,92,0,44,0,0
"Tjap1","Tjap1",274,0,76,50,62,416
"Rpl15","Rpl15",5264,3437,3076,3822,3257,4325
"Tmem167","Tmem167",979,940,1556,1941,962,1597
"Mplkip","Mplkip",116,263,0,43,0,1
"Kif11","Kif11",445,0,532,19,6,0
"Rpa3","Rpa3",235,0,38,60,0,271
"Mlkl","Mlkl",749,118,20,106,0,852
"Tnpo3","Tnpo3",1917,441,392,144,51,1059
"Ttll5","Ttll5",89,0,0,6,7,0
"Zfp715","Zfp715",0,96,366,0,0,0
"Retn","Retn",22,32,47,47,39,23
"Cdh23","Cdh23",0,0,22,12,12,0
"Rps5","Rps5",7904,5283,5435,5195,3786,6489
"Adgrl1","Adgrl1",0,95,39,43,0,0
"Amotl1","Amotl1",496,2711,3012,5918,3331,2687
"X2200002J24Rik","2200002J24Rik",154,25,0,25,0,45
"Etv5","Etv5",511,390,28,19,183,549
"Gfod2","Gfod2",8,14,82,14,14,352
"Enkd1","Enkd1",390,19,130,0,55,0
"Atp6v0d1","Atp6v0d1",7231,1218,1415,328,864,2485
"Ptprs","Ptprs",1020,442,622,81,298,425
"Slc41a1","Slc41a1",1076,257,0,0,0,509
"Igf2bp1","Igf2bp1",0,0,0,0,0,0
"B4galnt2","B4galnt2",0,0,12,0,0,0
"Nelfb","Nelfb",1711,3,221,467,230,853
"Card14","Card14",4097,253,95,197,36,623
"Tmem175","Tmem175",659,0,418,29,57,305
"Tango2","Tango2",2162,405,187,414,464,674
"Ndufs2","Ndufs2",8226,1520,1732,1168,636,2838
"Atraid","Atraid",899,214,197,205,305,1234
"Cad","Cad",2129,803,136,234,381,364
"Sh3bp5l","Sh3bp5l",1175,56,242,164,9,184
"Atad1","Atad1",645,0,487,118,442,0
"Pten","Pten",1202,288,1022,712,436,359
"Pea15a","Pea15a",3396,985,877,595,422,1039
"Timm23","Timm23",2400,866,1142,1049,656,1137
"Tnfaip8l2","Tnfaip8l2",3869,1571,2091,1000,681,2508
"Trnt1","Trnt1",677,217,879,118,6,780
"Ehmt2","Ehmt2",1441,1719,1265,1193,1290,301
"Elof1","Elof1",307,379,271,235,104,953
"Med16","Med16",6,315,1,78,184,425
"St3gal1","St3gal1",0,0,0,94,0,434
"Tmem259","Tmem259",0,124,125,42,0,148
"Rnf170","Rnf170",166,41,368,219,309,429
"Myl2","Myl2",0,0,0,0,0,0
"Dedd","Dedd",14,9,0,6,0,8
"Mcemp1","Mcemp1",0,0,0,88,0,341
"Nit1","Nit1",760,152,448,76,0,888
"Prdm15","Prdm15",0,0,0,20,0,300
"Rnf168","Rnf168",537,39,0,16,0,1
"Tctex1d2","Tctex1d2",680,25,82,71,77,162
"Chp1","Chp1",751,760,268,988,1418,1326
"Trpv4","Trpv4",0,0,360,0,0,0
"Tvp23b","Tvp23b",1085,277,374,1,0,643
"Dnajc7","Dnajc7",1187,486,340,63,142,0
"Zfp385c","Zfp385c",0,0,0,0,0,0
"Cacybp","Cacybp",3168,1454,1416,1585,785,1232
"Cluap1","Cluap1",0,0,0,87,33,174
"Zswim7","Zswim7",90,41,170,86,87,162
"Pigl","Pigl",271,1,1,7,2,8
"Ndufa2","Ndufa2",2190,828,1203,873,683,2088
"Pam16","Pam16",599,174,260,155,139,107
"Cox6c","Cox6c",7221,1371,2504,719,1243,3206
"Bicc1","Bicc1",0,0,0,6,0,0
"Ube2z","Ube2z",1080,627,501,828,993,86
"Tmem87b","Tmem87b",1278,310,350,515,0,354
"Anapc1","Anapc1",5683,1522,2938,624,213,629
"Mertk","Mertk",2348,19,0,34,0,35
"Tsg101","Tsg101",999,606,190,184,3,345
"Hps5","Hps5",772,30,0,49,336,479
"Map3k4","Map3k4",814,148,131,560,165,1142
